Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
30;-0.161794,0.804837,0.332423,0.654777,0.499528,-0.720931,-0.829894,0.170022,-0.487362,0.784705,-0.858168,-0.781272,-0.694238,-0.277364,0.922992,-0.274051,0.424521,-0.870492,0.000120661,-0.136765,0.927808,0.922125,0.626707,0.427315,0.280348,0.326915,-0.954375,0.425976,-0.0703823,-0.51708,0.758235,0.487219,0.10573,0.531639,-0.529505,0.0593454,-0.17366,-0.62431,-0.992125,-0.686913,0.593555,-0.164524,0.880565,0.805425,-0.933092,0.462042,0.71446,-0.438989,0.787594,0.501418;-4.41247,-4.71917,18.5625,7.79506
31;0.355282,0.498684,0.232869,0.90344,0.599396,-0.613224,-0.152907,0.841942,-0.54066,0.953723,-0.861965,-0.459789,-0.40805,-0.563124,0.907833,0.880525,-0.388852,-0.730495,0.111657,0.621657,0.907948,0.868257,0.433656,0.945337,0.572197,-0.613786,-0.420117,0.88211,-0.132571,-0.815846,0.424768,-0.356729,-0.0371293,0.841803,-0.641841,-0.935208,-0.0458381,-0.659539,-0.997161,-0.262085,-0.154928,0.206677,-0.11271,0.655011,-0.568292,0.29096,0.190994,-0.526871,0.900621,-0.263736;-8.81118,-0.781564,5.67579,11.3314
32;0.281026,0.505827,0.54029,0.943076,-0.0543374,-0.209356,-0.730894,0.847233,0.129011,0.696405,-0.844472,0.0112914,-0.279072,-0.663417,0.982,0.839313,-0.779055,-0.916187,0.064938,0.758707,0.788334,0.964165,0.0815268,0.910299,0.245354,-0.727272,-0.618241,0.924553,-0.033098,-0.865293,0.875614,-0.571254,-0.722605,0.683084,-0.379421,-0.971483,-0.515339,-0.312932,-0.998823,-0.599199,-0.335867,0.727059,0.560478,0.670621,-0.382196,0.836978,0.278419,0.00659613,0.964244,0.307106;-1.46041,-5.45829,6.68127,7.67682
33;0.296055,0.485973,0.557079,0.882088,-0.345636,-0.285722,-0.740651,0.851967,0.0671629,0.830527,-0.847926,-0.136857,-0.29754,-0.518648,0.983533,0.818814,-0.416614,-0.926174,0.196911,0.785212,0.895195,0.931191,-0.0967056,0.986213,0.345879,-0.741524,-0.628546,0.95869,0.0439336,-0.880138,0.887343,-0.26321,-0.766282,0.798767,-0.575979,-0.957109,-0.541824,-0.406641,-0.999522,-0.493876,-0.482359,0.702818,0.746349,0.733664,-0.592957,0.735621,0.432131,-0.181478,0.938861,0.429528;-2.501,-10.1155,10.2673,7.43636
34;0.106764,0.70453,0.248181,0.579207,0.0076523,-0.390708,-0.31182,0.751915,-0.2237,0.967867,-0.728368,-0.778156,0.556335,-0.659823,0.91489,0.18096,-0.434137,-0.261131,-0.114921,0.51535,0.936212,0.856213,0.695815,0.981576,0.923205,-0.0138365,-0.816221,0.676453,-0.105771,-0.87402,0.915889,0.52501,-0.602416,0.705795,0.21174,-0.391101,-0.683743,-0.141899,-0.993739,-0.36033,0.473404,-0.0267265,0.712053,0.406209,-0.891566,0.550886,-0.105021,-0.426639,0.868129,0.0817238;0.990979,-3.40976,14.3106,15.9501
35;-0.168988,0.464978,-0.370708,0.860143,-0.0266577,-0.27798,0.00129211,0.785237,-0.489242,0.808826,-0.691932,-0.836354,0.11022,-0.519876,0.885927,0.255929,-0.630014,-0.408369,-0.418064,-0.0292573,0.943332,0.890895,0.491203,0.964404,0.661628,-0.514671,-0.752228,0.843449,0.141601,-0.66649,0.538413,-0.0759549,-0.442585,0.781,-0.372449,-0.783528,-0.378357,-0.78225,-0.988146,-0.499849,-0.164471,0.0363453,-0.108121,0.820855,-0.779978,0.440142,-0.0979667,-0.592054,0.84663,-0.592942;-6.06606,1.88703,12.5458,13.9679
36;-0.00356237,0.0856668,-0.00233874,0.847419,-0.35109,0.0737261,-0.523327,0.742897,-0.103538,0.492394,-0.726916,0.0191074,0.417617,-0.428437,0.96574,0.704561,-0.89009,-0.691126,-0.485706,0.556192,0.788856,0.969972,0.263873,0.939606,0.615176,-0.66714,-0.652014,0.896272,-0.175554,-0.581828,0.84668,-0.673087,-0.752442,0.652458,-0.347533,-0.909564,-0.671357,-0.276789,-0.990654,-0.606345,-0.516063,0.662406,0.0335433,0.889647,-0.382175,0.885923,-0.00209908,-0.361294,0.980404,-0.23053;-2.27528,-6.68145,7.2978,6.21441
37;0.252808,0.713465,0.30658,0.707673,0.272271,-0.622562,-0.517154,0.108363,-0.300378,0.190234,-0.567863,-0.71493,0.397386,-0.552721,0.808487,0.0814624,0.244455,-0.2567,0.0755166,0.540199,0.871835,0.875859,0.513847,0.941349,0.85881,0.126308,-0.808549,0.496,-0.361122,-0.225995,0.744509,-0.0569735,-0.231263,0.563852,-0.419198,0.107539,-0.673048,0.108505,-0.924911,-0.32595,-0.415066,0.0125804,0.255189,-0.00505782,-0.835817,0.505014,0.151354,-0.0538343,0.597697,0.442779;-7.13883,-10.1134,10.7813,11.147
38;0.210962,0.602683,0.227992,0.874679,0.496902,-0.667046,0.0504396,-0.0540947,-0.605584,0.658492,-0.428928,-0.820314,0.0546065,-0.149539,0.534593,0.312357,0.283228,-0.166271,-0.183923,0.776026,0.889804,0.764992,0.465453,0.735074,0.80698,0.156067,-0.69927,0.141049,-0.104934,-0.344501,0.510078,-0.22416,-0.0313705,0.582568,-0.0744254,0.165372,-0.449743,0.110217,-0.960227,-0.27909,-0.474806,-0.339065,-0.462583,0.281039,-0.648958,0.518778,0.205391,-0.408422,0.476107,0.363598;-7.95493,-6.88592,10.8566,10.2099
39;0.58771,0.789135,0.723023,0.88934,0.687036,-0.778614,-0.0300482,0.152694,-0.704452,0.424285,-0.641204,-0.707738,-0.161888,-0.567244,0.779173,0.64991,0.00264129,-0.621071,0.394054,0.701379,0.85346,0.787908,0.480053,0.626052,0.636129,0.0683755,-0.665543,0.423823,-0.212233,-0.638656,0.421045,-0.67184,-0.41368,0.403482,-0.540057,-0.44175,-0.432693,-0.297054,-0.968019,-0.236524,-0.473809,0.0914099,0.14276,-0.112938,-0.516323,0.181286,0.293542,-0.0358151,0.380727,0.59171;-9.70394,-3.00457,7.07364,12.6307
