Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
13;-0.973918,-0.89553,-0.343163,-0.158816,0.83976,-0.26882,-0.986165,0.901328,0.938679,0.746214,0.075206,0.86823;-2.83188,0.317534,-0.119126,1.2129
14;-0.973918,-0.912208,-0.343163,-0.5635,0.801864,-0.326594,-0.986165,0.89257,0.931403,0.752216,-0.215083,0.86823;-2.83132,-0.454377,1.2789,1.24554
15;-0.912172,-0.979525,-0.280617,-0.141941,0.826196,0.190426,-0.938373,0.948417,0.903546,0.910908,-0.410055,0.389637;-3.30318,-0.438524,-1.04368,1.0324
16;-0.973918,-0.951327,-0.343163,-0.624005,0.803652,-0.325897,-0.986165,0.967542,0.938574,0.58373,-0.546109,0.86823;-2.91438,-0.977315,1.3876,1.20732
17;-0.840441,-0.969168,-0.486785,0.573042,0.649099,-0.699672,-0.714247,0.9128,0.894874,0.867042,-0.686808,0.609828;-3.40224,0.712864,-2.46528,0.890264
18;-0.840441,-0.874167,-0.486785,0.699823,0.811155,-0.550206,-0.714247,0.938248,0.912795,0.917548,-0.770008,0.609828;-3.36304,0.764714,-3.00151,0.595865
19;-0.927918,-0.481277,-0.625736,0.206707,0.772125,-0.692097,-0.924882,0.983124,0.947095,0.913113,-0.655052,0.812497;-2.64001,0.831756,-0.708963,0.868152
20;-0.927918,-0.779778,-0.625736,0.394951,0.705741,-0.671288,-0.924882,0.977449,0.946937,0.92771,-0.345181,0.812497;-3.05923,1.12625,-1.71395,1.06205
21;-0.973918,-0.862423,-0.343163,-0.211852,0.853473,-0.17222,-0.986165,0.961822,0.939263,0.848188,0.0598876,0.86823;-2.84827,0.284052,-0.101761,1.10643
22;-0.973918,-0.946545,-0.343163,-0.5635,0.796151,-0.365753,-0.986165,0.896467,0.935933,0.722495,-0.342521,0.86823;-2.9045,-0.620699,1.27695,1.27635
23;-0.840441,-0.979529,-0.486785,0.573042,0.659409,-0.678838,-0.714247,0.857768,0.904049,0.873565,-0.78098,0.609828;-3.38181,0.526636,-2.49642,0.891305
24;-0.840441,-0.877152,-0.486785,0.699823,0.811155,-0.545175,-0.714247,0.951093,0.913172,0.915296,-0.775768,0.609828;-3.37662,0.760286,-3.01993,0.588195
25;-0.927918,-0.477875,-0.625736,0.206707,0.772125,-0.694794,-0.924882,0.983368,0.947015,0.912547,-0.653866,0.812497;-2.63525,0.838597,-0.700578,0.868174
26;-0.927918,-0.779343,-0.625736,0.394951,0.705741,-0.671342,-0.924882,0.977382,0.946917,0.927963,-0.343122,0.812497;-3.05825,1.12931,-1.713,1.06197
27;-0.973918,-0.862551,-0.343163,-0.211852,0.853473,-0.172193,-0.986165,0.961625,0.939273,0.848198,0.059699,0.86823;-2.84832,0.283519,-0.101888,1.10655
