Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
30;-0.490408,-0.111002,0.225895,-0.000153722,0.461751,-0.803621,-0.382198,0.218664,0.244518,-0.544188,-0.590093,0.887887,-0.32433,-0.778045,0.599128,0.610709,0.285455,0.397892,0.107224,0.0460303,-0.502026,-0.52139,-0.820478,0.245716,0.524074,-0.1115,0.805989,-0.344759,-0.088514,-0.705005,-0.444733,0.576677,-0.193358,0.268931,-0.491937,-0.444928,0.421118,0.15112,-0.153762,0.798907,-0.112027,-0.395803,0.261659,0.312931,0.538453,-0.0740963,-0.638687,0.215242,-0.50509,-0.820653;-4.15156,-0.0546407,-1.31586,4.90857
31;-0.800363,0.187811,-0.166157,-0.0932497,-0.317258,-0.756024,-0.347438,0.375089,0.775223,-0.546799,-0.200186,0.125025,-0.377358,-0.325013,0.236709,0.216091,0.0222811,0.408785,0.0661684,0.139669,-0.696034,0.296919,-0.483455,0.523983,0.0831947,0.140129,0.762775,-0.385472,0.477575,-0.437261,-0.198644,0.569709,-0.362587,-0.0338399,-0.568231,-0.48643,0.128204,0.231693,0.0155782,0.652777,0.468892,-0.220869,0.123318,-0.347048,0.444664,-0.0369312,-0.291535,0.341498,-0.377823,-0.806403;-8.58398,-2.81126,3.28965,2.47077
32;-0.783136,0.533207,-0.0643161,0.59109,0.588791,-0.449422,-0.7305,0.0788334,0.740577,-0.444538,0.144757,0.0571654,0.0261554,-0.815871,0.191532,0.597996,-0.228864,-0.0837436,0.405545,0.19156,-0.537401,0.063652,0.279321,0.718626,0.383046,0.166093,0.596403,-0.40121,0.502961,-0.758749,-0.692431,0.153015,0.123401,0.0836239,-0.843218,-0.570924,0.680751,0.374665,0.153089,0.334024,0.709177,-0.858564,-0.432481,-0.369927,-0.0449936,0.0536303,-0.647836,0.620179,-0.17476,-0.895638;2.58801,-1.74587,2.09453,2.78703
33;-0.56146,-0.315445,-0.272578,0.627979,0.208773,-0.696382,-0.852252,-0.11852,0.58726,-0.640834,0.446453,0.310306,-0.553577,-0.580398,0.106513,0.670139,-0.427957,-0.0505536,0.380719,-0.739387,-0.708678,0.468538,0.571858,0.865018,0.84715,-0.440096,0.707002,-0.681458,0.123912,-0.63054,-0.807556,0.446436,0.29254,0.17395,-0.699142,-0.539941,0.795688,0.0497212,0.247403,-0.00446631,0.82316,-0.946245,-0.532391,0.710758,0.194764,0.325358,-0.497413,0.693206,0.558747,-0.714029;-1.10815,0.306491,3.18004,4.82856
34;-0.332372,0.648483,-0.0996369,0.596134,0.837509,-0.278397,-0.808979,-0.0595982,0.707199,-0.845665,0.0574567,0.756434,-0.752807,-0.843947,0.708461,0.843927,-0.203102,0.771448,0.389987,-0.738999,-0.390652,0.237885,0.686393,0.858666,0.751558,-0.489921,0.176852,-0.831823,0.245486,-0.660812,-0.506836,0.0683406,-0.0133916,0.750022,-0.891054,-0.100361,0.842485,0.100758,0.512661,-0.579297,0.773936,-0.962544,-0.595387,0.812704,-0.123869,-0.0635241,-0.314837,0.748433,0.428412,-0.871576;1.26963,-1.23875,3.77004,6.1987
35;-0.530603,0.328399,0.13696,0.132359,-0.150937,-0.890309,-0.837303,0.320612,0.942896,-0.902613,-0.302481,0.858056,-0.894343,-0.80929,0.873156,0.791992,-0.818556,0.440962,0.33418,-0.853298,-0.791336,0.640348,0.199921,0.659686,0.875889,-0.223677,-0.280176,-0.700831,-0.238598,-0.820105,-0.812509,-0.470254,0.501597,0.3777,-0.750722,-0.285299,0.791562,-0.476737,0.740276,-0.21103,0.242873,-0.974638,-0.631516,0.503795,0.0223209,-0.453776,-0.146872,0.572082,0.397574,-0.872694;-0.820097,3.49105,8.15019,5.11217
36;-0.609234,-0.650889,0.253779,-0.592486,-0.326039,-0.839194,-0.858627,0.0880557,0.829433,-0.834077,-0.861643,0.993139,-0.401927,-0.422246,0.754121,0.829256,-0.898268,0.161942,-0.253822,0.0895087,-0.9194,0.859017,-0.164273,0.708608,0.38074,-0.785747,-0.808529,-0.917269,-0.869037,-0.680781,-0.947847,0.479719,-0.582876,-0.0555012,0.587878,-0.216665,0.249545,0.499841,-0.33407,0.898527,0.35987,-0.869678,0.455059,0.62832,0.12308,-0.448258,0.821736,0.290752,0.432513,-0.863842;-4.47462,4.89412,0.740784,6.05317
37;0.0341585,-0.900154,0.652953,-0.564978,0.710336,-0.868283,-0.889998,-0.348895,0.774527,0.129743,-0.923332,0.997643,0.165488,-0.661853,0.516843,0.872918,-0.727501,-0.387782,0.454704,0.233443,-0.913586,0.399458,-0.684106,0.854162,0.52891,-0.625841,-0.336186,-0.921343,-0.803528,-0.508942,-0.965417,0.446503,-0.566782,0.319052,0.340777,-0.735328,-0.342632,0.562393,-0.307763,0.751777,0.00748973,-0.88717,-0.403764,0.63137,0.312269,0.122284,0.622187,-0.232965,-0.284762,-0.78264;-7.07676,-0.990345,6.35881,-8.79322
38;-0.500442,-0.293033,0.290611,0.000853451,0.588829,-0.793675,-0.459078,0.336314,0.210055,-0.522171,-0.587857,0.873341,-0.47112,-0.735442,0.553471,0.715575,0.341629,0.265221,0.153876,0.0380702,-0.501543,-0.549574,-0.826362,0.191134,0.484921,-0.13396,0.803545,-0.309048,0.0185618,-0.654138,-0.506754,0.654382,-0.228689,0.323449,-0.545302,-0.478209,0.398285,0.108223,-0.180119,0.785065,-0.108708,-0.225664,0.249398,0.216726,0.609183,0.0832052,-0.627009,0.151967,-0.548319,-0.817903;-5.20425,-1.53946,-0.781397,6.55449
39;-0.819088,-0.317598,-0.05354,-0.183567,-0.08243,-0.337905,-0.628772,0.302271,0.757561,-0.766266,-0.344299,0.591651,-0.280899,-0.51377,0.353496,0.429835,-0.330555,-0.00239433,0.530084,-0.00279739,-0.856371,-0.0331338,-0.104793,0.497928,-0.504978,0.406952,0.789499,-0.740624,0.376061,-0.530081,-0.403579,0.658805,-0.603324,0.207147,-0.333495,-0.644751,0.0583225,-0.386608,-0.380905,0.864844,0.72338,0.2097,-0.0606639,-0.0706964,0.599151,0.248832,-0.17037,0.561408,-0.392484,-0.927119;-10.9645,-4.61896,1.71317,3.42505
