Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
54;0.760511,0.977301,0.86307,-0.965921,0.686376,0.71006,-0.657569,0.0325994,-0.221467,-0.996374,0.239775,0.991816,-0.389144,0.972024,0.64522,0.210698,0.555904,0.926946,0.459566,-0.750748;-0.135638,0.810322,-6.60121,0.887552
55;0.760725,0.95912,0.855996,-0.959053,0.762449,0.694978,-0.616476,0.0773389,-0.446681,-0.996237,0.257258,0.991761,-0.513757,0.958607,0.435229,0.202255,0.612302,0.930565,0.116895,-0.72698;0.160249,0.846821,-7.29189,0.818479
56;0.481019,0.838056,0.528457,-0.916283,0.908576,0.362862,-0.31733,0.17069,-0.821294,-0.996226,-0.156318,0.991164,-0.575492,0.975114,-0.113653,0.673401,-0.141677,0.899831,0.423832,-0.867991;1.55639,2.03616,-7.19383,2.5815
57;0.480952,0.852441,0.50991,-0.929541,0.917987,0.129019,-0.0296619,0.412557,-0.715057,-0.996886,0.00689592,0.986413,-0.582221,0.97129,0.193514,0.673404,0.0069017,0.811895,0.829175,-0.787362;0.749368,2.58062,-7.78363,2.56504
58;0.591065,0.68357,0.769432,-0.953632,0.860228,-0.340499,-0.082197,0.702675,-0.636871,-0.99123,-0.0321432,0.974848,-0.661991,0.92887,0.474654,0.340115,-0.506181,0.907455,0.874231,-0.673101;0.0371775,2.60562,-10.2931,2.30058
59;0.671432,0.620045,0.505684,-0.841869,0.424876,-0.126709,-0.302268,0.452523,-0.493531,-0.900093,-0.0701284,0.935633,-0.608857,0.709502,0.755532,0.325374,-0.78558,0.901788,0.911817,-0.449108;0.47563,1.87013,-9.52297,1.90098
60;0.640439,0.749354,0.740605,-0.910527,0.753805,0.257686,-0.468871,0.393672,-0.725065,-0.959353,-0.609822,0.9703,-0.649084,0.847765,0.610945,0.506973,-0.815522,0.934032,0.974572,-0.831503;2.21476,2.27585,-9.94002,3.22161
61;0.589521,0.711582,0.807516,-0.962452,0.808445,-0.208745,-0.300236,0.567719,-0.55678,-0.99286,-0.26705,0.97693,-0.354678,0.944977,0.580337,0.358383,-0.646635,0.942753,0.971458,-0.769568;0.446327,2.29747,-9.03729,2.44589
62;0.590157,0.571661,0.810009,-0.95371,0.776228,-0.251908,-0.28499,0.616401,-0.558621,-0.991565,-0.178999,0.978101,-0.361441,0.887794,0.578246,0.342087,-0.606458,0.954105,0.960679,-0.753436;0.244459,2.24893,-8.9163,2.22137
63;0.671695,0.445977,0.533811,-0.835038,0.468899,-0.127509,-0.352632,0.387411,-0.435409,-0.919501,-0.179788,0.931867,-0.429236,0.752794,0.790615,0.325208,-0.791795,0.906329,0.925931,-0.509502;0.37091,1.64798,-9.10978,1.89132
64;0.616869,0.397839,0.602698,-0.907952,0.520672,-0.464424,-0.348781,-0.0171508,-0.254402,-0.96618,0.298261,0.935583,0.175456,0.621523,0.729236,0.22284,-0.631146,0.752534,0.938037,-0.536881;-1.4043,1.15916,-4.56886,0.797204
65;0.240875,-0.384897,-0.084483,-0.450385,0.455543,-0.141648,-0.1117,-0.0102582,-0.131029,-0.764753,-0.257562,0.739428,-0.344249,0.556105,0.843876,-0.153254,-0.844449,0.65348,0.846998,-0.869177;0.0768714,0.664211,-8.54503,2.71673
66;0.213505,0.018562,-0.165005,-0.41072,0.0886778,-0.445647,-0.172864,0.0997425,-0.206861,-0.8803,-0.132339,0.535127,0.616684,-0.100985,0.815254,-0.0427818,-0.854857,0.0273354,0.899453,-0.905857;0.443767,0.278932,-0.00989493,1.22562
67;0.184638,-0.644642,-0.594033,-0.421964,0.315492,-0.46507,-0.157699,-0.230548,-0.16341,-0.912625,-0.165226,0.116035,0.239023,-0.259019,0.832277,-0.106457,-0.856948,-0.0359937,0.898623,-0.900116;0.00125734,0.0120801,-1.53179,1.37979
68;0.124467,-0.428208,-0.626844,-0.398399,0.28726,-0.485081,-0.166728,-0.00680542,-0.164103,-0.897286,-0.157103,-0.0172112,0.692822,-0.608574,0.832019,-0.124139,-0.856191,-0.525109,0.89806,-0.91506;0.0655299,-0.0293614,2.82191,0.677079
69;0.359099,0.225447,-0.547454,-0.892305,0.840721,-0.187264,-0.496633,0.0135076,-0.454701,-0.998167,0.0894751,0.799466,0.758054,-0.139968,0.588355,0.702285,-0.238676,-0.176509,0.950674,-0.942288;0.0180589,1.14322,2.70319,0.669953
70;0.45806,0.581654,-0.280791,-0.80748,0.441041,0.719946,-0.438096,0.327526,0.0586553,-0.977972,-0.217996,0.771973,-0.49672,0.617963,0.850431,-0.150008,0.110231,-0.0731222,0.500597,-0.932467;0.164568,-0.126343,-6.90353,1.31198
71;0.782844,0.972509,0.300873,-0.89839,0.488236,0.775689,-0.740312,0.08099,-0.592555,-0.9929,-0.141748,0.975443,-0.13916,0.601249,0.550189,0.350532,0.302544,0.567664,0.549676,-0.827464;1.53026,0.706707,-4.37085,1.31723
72;0.589255,0.745542,0.693833,-0.890667,0.47908,0.665486,-0.322526,0.233034,-0.453012,-0.948819,-0.502616,0.918505,-0.857969,0.896346,0.642871,-0.54454,-0.401648,0.839752,0.34332,-0.814171;1.59494,0.201656,-12.3678,2.9733
73;0.58376,0.913749,0.793243,-0.879808,0.154452,0.557547,-0.367001,0.30705,-0.582024,-0.947742,-0.312263,0.925716,-0.643595,0.726677,0.503921,-0.527121,-0.461134,0.933792,0.772242,-0.839294;1.71208,0.518719,-9.46643,2.91861
74;0.842891,0.949018,0.931739,-0.962099,0.642058,0.580133,-0.57018,0.175411,-0.572834,-0.983326,-0.292097,0.968274,-0.791838,0.709194,0.666067,-0.0793821,-0.276497,0.974042,0.903713,-0.511665;1.52868,1.32376,-9.77021,2.61442
75;0.793776,0.982932,0.826088,-0.947451,0.655044,0.880731,-0.691454,0.0951669,-0.323683,-0.980465,-0.212077,0.988373,-0.75506,0.938049,0.772285,0.347926,0.151822,0.959729,0.757205,-0.758058;1.4199,1.2401,-8.96838,2.06265
76;0.760511,0.977301,0.86307,-0.965921,0.686376,0.71006,-0.657569,0.0325988,-0.221467,-0.996374,0.239775,0.991816,-0.389144,0.972024,0.64522,0.210698,0.555904,0.926946,0.459566,-0.750748;-0.135638,0.810322,-6.60121,0.887553
77;0.760725,0.95912,0.855996,-0.959053,0.762449,0.694978,-0.616476,0.0773389,-0.446681,-0.996237,0.257258,0.991761,-0.513757,0.958607,0.435229,0.202255,0.612302,0.930565,0.116895,-0.72698;0.160249,0.846821,-7.29189,0.818479
78;0.481019,0.838056,0.528457,-0.916283,0.908576,0.362862,-0.31733,0.17069,-0.821294,-0.996226,-0.156318,0.991164,-0.575492,0.975114,-0.113653,0.673401,-0.141677,0.899831,0.423832,-0.867991;1.55639,2.03616,-7.19384,2.5815
79;0.480952,0.852441,0.50991,-0.929541,0.917987,0.129019,-0.0296619,0.412557,-0.715057,-0.996886,0.00689592,0.986413,-0.582221,0.97129,0.193514,0.673404,0.0069017,0.811895,0.829175,-0.787362;0.749368,2.58062,-7.78363,2.56504
80;0.591065,0.68357,0.769432,-0.953632,0.860228,-0.340499,-0.082197,0.702675,-0.636871,-0.99123,-0.0321432,0.974848,-0.661991,0.92887,0.474654,0.340115,-0.506181,0.907455,0.874231,-0.673101;0.0371775,2.60562,-10.2931,2.30058
81;0.671432,0.620045,0.505684,-0.841869,0.424876,-0.126709,-0.302268,0.452523,-0.493531,-0.900093,-0.0701284,0.935633,-0.608857,0.709502,0.755532,0.325374,-0.78558,0.901788,0.911817,-0.449108;0.47563,1.87013,-9.52297,1.90098
82;0.640439,0.749354,0.740605,-0.910527,0.753805,0.257686,-0.468871,0.393672,-0.725065,-0.959353,-0.609822,0.9703,-0.649084,0.847765,0.610945,0.506973,-0.815522,0.934032,0.974572,-0.831503;2.21476,2.27585,-9.94002,3.22161
83;0.589521,0.711582,0.807516,-0.962452,0.808445,-0.208745,-0.300236,0.567719,-0.55678,-0.99286,-0.26705,0.97693,-0.354678,0.944977,0.580337,0.358383,-0.646635,0.942753,0.971458,-0.769568;0.446327,2.29747,-9.03729,2.44589
84;0.590157,0.571661,0.810009,-0.95371,0.776228,-0.251908,-0.28499,0.616401,-0.558621,-0.991565,-0.178999,0.978101,-0.361441,0.887794,0.578246,0.342087,-0.606458,0.954105,0.960679,-0.753436;0.244459,2.24893,-8.9163,2.22137
85;0.671695,0.445977,0.533811,-0.835038,0.468899,-0.127509,-0.352632,0.387411,-0.435409,-0.919501,-0.179788,0.931867,-0.429236,0.752794,0.790615,0.325208,-0.791795,0.906329,0.925931,-0.509502;0.37091,1.64798,-9.10978,1.89132
86;0.616869,0.397839,0.602698,-0.907952,0.520672,-0.464424,-0.348781,-0.0171508,-0.254402,-0.96618,0.298261,0.935583,0.175456,0.621523,0.729236,0.22284,-0.631146,0.752534,0.938037,-0.536881;-1.4043,1.15916,-4.56886,0.797204
87;0.240875,-0.384897,-0.084483,-0.450385,0.455543,-0.141648,-0.1117,-0.0102582,-0.131029,-0.764753,-0.257562,0.739428,-0.344249,0.556105,0.843876,-0.153254,-0.844449,0.65348,0.846998,-0.869177;0.0768714,0.664211,-8.54503,2.71673
88;0.213505,0.018562,-0.165005,-0.41072,0.0886778,-0.445647,-0.172864,0.0997425,-0.206861,-0.8803,-0.132339,0.535127,0.616684,-0.100985,0.815254,-0.0427818,-0.854857,0.0273354,0.899453,-0.905857;0.443767,0.278932,-0.00989493,1.22562
89;0.184638,-0.644642,-0.594033,-0.421964,0.315492,-0.46507,-0.157699,-0.230548,-0.16341,-0.912625,-0.165226,0.116035,0.239023,-0.259019,0.832277,-0.106457,-0.856948,-0.0359937,0.898623,-0.900116;0.00125734,0.0120801,-1.53179,1.37979
90;0.124467,-0.428208,-0.626844,-0.398399,0.28726,-0.485081,-0.166728,-0.00680542,-0.164103,-0.897286,-0.157103,-0.0172112,0.692822,-0.608574,0.832019,-0.124139,-0.856191,-0.525109,0.89806,-0.91506;0.0655299,-0.0293614,2.82191,0.677079
91;0.359099,0.225447,-0.547454,-0.892305,0.840721,-0.187264,-0.496633,0.0135076,-0.454701,-0.998167,0.0894751,0.799466,0.758054,-0.139968,0.588355,0.702285,-0.238676,-0.176509,0.950674,-0.942288;0.0180589,1.14322,2.70319,0.669953
92;0.45806,0.581654,-0.280791,-0.80748,0.441041,0.719946,-0.438096,0.327526,0.0586553,-0.977972,-0.217996,0.771973,-0.49672,0.617963,0.850431,-0.150008,0.110231,-0.0731222,0.500597,-0.932467;0.164568,-0.126343,-6.90353,1.31198
93;0.782844,0.972509,0.300873,-0.89839,0.488236,0.775689,-0.740312,0.08099,-0.592555,-0.9929,-0.141748,0.975443,-0.13916,0.601249,0.550189,0.350532,0.302544,0.567664,0.549676,-0.827464;1.53026,0.706707,-4.37085,1.31723
94;0.589255,0.745542,0.693833,-0.890667,0.47908,0.665486,-0.322526,0.233034,-0.453012,-0.948819,-0.502616,0.918505,-0.857969,0.896346,0.642871,-0.54454,-0.401648,0.839752,0.34332,-0.814171;1.59494,0.201656,-12.3678,2.9733
95;0.58376,0.913749,0.793243,-0.879808,0.154452,0.557547,-0.367001,0.30705,-0.582024,-0.947742,-0.312263,0.925716,-0.643595,0.726677,0.503921,-0.527121,-0.461134,0.933792,0.772242,-0.839294;1.71208,0.518719,-9.46643,2.91861
96;0.842891,0.949018,0.931739,-0.962099,0.642058,0.580133,-0.57018,0.175411,-0.572834,-0.983326,-0.292097,0.968274,-0.791838,0.709194,0.666067,-0.0793821,-0.276497,0.974042,0.903713,-0.511665;1.52868,1.32376,-9.77021,2.61442
97;0.793776,0.982932,0.826088,-0.947451,0.655044,0.880731,-0.691454,0.0951669,-0.323683,-0.980465,-0.212077,0.988373,-0.75506,0.938049,0.772285,0.347926,0.151822,0.959729,0.757205,-0.758058;1.4199,1.2401,-8.96838,2.06265
98;0.760511,0.977301,0.86307,-0.965921,0.686376,0.71006,-0.657569,0.0325988,-0.221467,-0.996374,0.239775,0.991816,-0.389144,0.972024,0.64522,0.210698,0.555904,0.926946,0.459566,-0.750748;-0.135638,0.810322,-6.60121,0.887553
99;0.760725,0.95912,0.855996,-0.959053,0.762449,0.694978,-0.616476,0.0773389,-0.446681,-0.996237,0.257258,0.991761,-0.513757,0.958607,0.435229,0.202255,0.612302,0.930565,0.116895,-0.72698;0.160249,0.846821,-7.29189,0.818479
100;0.481019,0.838056,0.528457,-0.916283,0.908576,0.362862,-0.31733,0.17069,-0.821294,-0.996226,-0.156318,0.991164,-0.575492,0.975114,-0.113653,0.673401,-0.141677,0.899831,0.423832,-0.867991;1.55639,2.03616,-7.19384,2.5815
101;0.480952,0.852441,0.50991,-0.929541,0.917987,0.129019,-0.0296619,0.412557,-0.715057,-0.996886,0.00689592,0.986413,-0.582221,0.97129,0.193514,0.673404,0.0069017,0.811895,0.829175,-0.787362;0.749368,2.58062,-7.78363,2.56504
102;0.591065,0.68357,0.769432,-0.953632,0.860228,-0.340499,-0.082197,0.702675,-0.636871,-0.99123,-0.0321432,0.974848,-0.661991,0.92887,0.474654,0.340115,-0.506181,0.907455,0.874231,-0.673101;0.0371775,2.60562,-10.2931,2.30058
