Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
50;-0.124176,0.939652,0.119338,-0.625905,0.73366,0.217896,0.771059,0.902136,0.924168,0.267795,-0.915167,-0.826949,-0.152055,-0.725919,0.500872,-0.881525,0.864153,-0.837126,-0.161055,-0.705001;-6.16733,3.08052,-0.43418,0.0847614
51;-0.170861,0.852135,0.576128,-0.480135,0.290048,-0.592473,0.926132,0.914724,0.842889,0.152797,-0.11979,-0.695759,0.236002,-0.259763,-0.966699,-0.847738,0.815542,-0.81328,0.333731,-0.828115;-3.11546,-0.521558,-0.142666,4.04983
52;-0.223919,0.977224,-0.075978,-0.694155,0.172888,-0.842007,0.874562,0.67194,-0.27361,-0.85832,-0.929944,-0.121912,-0.971725,-0.615257,-0.995953,-0.99935,0.434123,-0.82959,0.194312,-0.0654409;-2.28974,0.831418,2.62165,2.99203
53;-0.677824,0.872198,0.350275,-0.680016,0.574536,-0.824961,0.159126,0.930885,-0.528801,0.716578,-0.180147,-0.542664,-0.966484,-0.840828,-0.992231,-0.992422,-0.0739469,-0.368599,-0.153177,-0.582293;1.20178,-0.311841,-0.445494,1.679
54;-0.61822,0.946366,-0.568353,-0.609337,0.314176,-0.372285,0.49513,0.886896,-0.14997,0.304571,0.00159794,-0.871528,-0.965157,-0.890988,-0.779335,-0.999782,0.921386,-0.850035,-0.573799,-0.78211;-0.461499,-1.90322,0.991375,1.04964
55;-0.675005,0.873872,-0.861356,-0.178152,0.867602,-0.763503,0.545135,0.945139,0.555139,-0.496873,-0.145614,-0.950843,-0.869941,-0.7726,-0.986241,-0.999838,0.824234,-0.824155,-0.322002,-0.834731;-1.39517,-1.96221,0.801791,0.952816
56;-0.675005,0.941392,-0.829362,-0.178152,0.830806,-0.77607,0.622861,0.945112,-0.0496367,-0.688727,-0.858387,-0.926475,-0.959817,-0.7726,-0.978256,-0.999925,0.642644,-0.812264,-0.3103,-0.772966;-2.40227,-1.23646,1.88737,1.25824
57;-0.686667,0.972865,-0.643497,0.214342,0.805663,-0.667286,0.00348127,0.934306,-0.236114,0.774883,-0.899222,-0.967887,-0.990315,-0.429575,-0.907458,-0.99997,0.563419,-0.858434,0.63072,-0.669378;-3.50696,-3.0662,2.62606,3.30748
58;-0.686667,0.997136,-0.624846,0.214342,0.31799,0.0719811,0.0651212,0.940637,-0.034584,0.843061,-0.749188,-0.702474,-0.986493,-0.429575,-0.484634,-0.999993,0.857766,-0.486127,0.632887,-0.291304;-4.65287,-0.515482,2.41491,1.99346
59;0.0060349,0.985517,0.474904,-0.13617,-0.353329,0.669714,0.763273,0.81805,0.93142,0.814432,-0.0656275,-0.767381,-0.909624,-0.282943,-0.233536,-0.997714,0.757264,-0.802772,0.410012,-0.789502;-3.89591,-1.16153,0.219772,3.42793
