Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
74;0.202703,-0.908929,0.899796,-0.570697,-0.193399,0.337965,0.66627,-0.534334,-0.348419,-0.503725,0.398785,-0.0773362;-0.0580116,-4.96094,0.82636,2.19364
75;0.195329,-0.838274,-0.0175075,-0.570697,0.600754,0.267781,0.682054,-0.472024,-0.727624,-0.540695,0.614826,-0.113493;0.0898057,-0.67297,-0.41866,4.65761
76;0.215154,-0.834161,0.00116251,-0.570697,0.644715,0.37464,0.64056,-0.665113,-0.875503,-0.588135,0.597829,-0.140327;0.328927,-0.413639,-1.35394,5.16121
77;0.216246,-0.831046,-0.114042,-0.570697,0.671389,0.163705,0.638018,-0.711691,-0.902872,-0.584538,0.623488,-0.141883;0.243905,-0.777872,-1.37541,5.6447
78;-0.328986,-0.807815,-0.0333173,-0.296279,0.737159,0.186606,0.812142,-0.773561,-0.697332,-0.1074,0.127646,0.34708;1.10281,-2.95342,-0.376139,5.85828
79;0.114197,-0.955005,0.609621,-0.509748,0.0501799,-0.313567,0.695546,-0.748536,-0.463665,0.176651,0.295801,0.69934;2.31329,-7.22878,0.462552,4.40232
80;0.552088,-0.96009,0.919723,-0.585335,-0.0871683,-0.695546,0.60333,0.257641,0.0457267,0.600383,0.466687,0.881847;4.29049,-6.73271,3.19404,1.18805
81;-0.3465,-0.906585,0.942299,-0.296279,-0.240292,0.857578,0.853287,0.0317703,0.421554,-0.0571856,-0.198106,0.386842;-0.225384,-4.12153,3.83242,-0.202795
82;0.355718,-0.266645,-0.36722,0.202444,-0.115049,0.392533,0.83371,-0.0738422,-0.565987,0.0757734,0.597254,-0.0555479;0.630954,-1.8771,0.614823,3.38375
83;0.358566,-0.105487,-0.444362,0.202444,0.0922162,0.433232,0.48656,-0.060467,-0.263098,-0.178646,0.470529,-0.169659;0.507156,1.9936,0.314982,3.26132
84;0.363264,-0.0626281,-0.559737,0.202444,0.394804,0.423564,0.347993,0.165726,-0.413283,-0.138812,0.482576,-0.229374;1.66671,3.82435,-0.433433,3.51161
85;0.37009,-0.040097,-0.596834,0.202444,0.381767,0.615755,0.308039,0.0607302,-0.55177,-0.142621,0.479731,-0.244988;1.92547,4.18226,-1.30181,3.90952
86;0.393994,-0.5375,-0.352105,-0.209149,0.206781,0.672104,0.364965,-0.176471,-0.82727,-0.538216,0.653234,-0.608134;0.650018,1.89851,-1.87953,3.67051
87;-0.149024,-0.373972,-0.71134,0.130097,0.428104,0.570404,0.857555,-0.443653,-0.595487,-0.0875831,0.273781,-0.115637;0.0277297,-0.172267,0.129289,5.14417
88;-0.334628,-0.811237,-0.324672,-0.296279,0.612046,0.401467,0.575506,-0.830338,-0.801662,0.00496392,0.276712,0.35418;1.80955,-2.05032,-1.33788,6.32895
89;0.179387,-0.84442,0.377676,-0.391514,0.54027,-0.55398,0.663224,-0.74011,-0.890806,0.517904,0.545464,0.737117;4.86241,-6.72718,-0.281115,5.77881
90;0.177576,-0.881232,0.919269,-0.391514,0.101182,-0.430767,0.6822,-0.438671,-0.424979,0.451672,0.241109,0.731463;4.11694,-7.78194,1.09456,3.29817
91;0.202702,-0.908929,0.899793,-0.570697,-0.193398,0.337966,0.66627,-0.534336,-0.348426,-0.503726,0.39879,-0.0773362;-0.0580161,-4.96095,0.82634,2.19366
92;0.195329,-0.838274,-0.0175082,-0.570697,0.600754,0.26778,0.682054,-0.472029,-0.727625,-0.540696,0.614827,-0.113493;0.0898012,-0.672971,-0.418664,4.65762
93;0.215154,-0.834161,0.00116338,-0.570697,0.644716,0.374636,0.64056,-0.665113,-0.875503,-0.588135,0.597829,-0.140327;0.328928,-0.41365,-1.35394,5.16122
94;0.216246,-0.831046,-0.114039,-0.570697,0.671389,0.163705,0.638018,-0.711691,-0.902871,-0.584538,0.623487,-0.141883;0.24391,-0.777878,-1.37541,5.64469
95;0.216909,-0.830864,0.0556786,-0.570697,0.67041,0.115958,0.636085,-0.721014,-0.861657,-0.589959,0.571603,-0.143061;0.427982,-1.15767,-1.20884,5.37044
96;0.216884,-0.830726,0.0931292,-0.570697,0.673278,0.0941154,0.635971,-0.705648,-0.84907,-0.578942,0.559161,-0.14313;0.526743,-1.26574,-1.12778,5.28268
97;0.216956,-0.830718,0.110675,-0.570697,0.667575,0.109166,0.635885,-0.70094,-0.843571,-0.576269,0.553384,-0.143182;0.553189,-1.27,-1.11251,5.22428
98;0.216814,-0.830712,0.0984871,-0.570697,0.666172,0.113348,0.63588,-0.69882,-0.846716,-0.575023,0.557371,-0.143185;0.542474,-1.24767,-1.12401,5.24074
99;0.216779,-0.830711,0.0951071,-0.570697,0.665517,0.116636,0.635877,-0.700089,-0.847611,-0.575883,0.558474,-0.143188;0.533492,-1.23552,-1.13098,5.24682
100;0.216763,-0.830711,0.0924476,-0.570697,0.66597,0.115414,0.635876,-0.700446,-0.848391,-0.576121,0.55934,-0.143188;0.529752,-1.23342,-1.13348,5.25398
101;0.216774,-0.830711,0.0934354,-0.570697,0.666095,0.115188,0.635876,-0.70075,-0.848139,-0.576307,0.559018,-0.143188;0.530238,-1.23479,-1.13279,5.25279
102;0.216777,-0.830711,0.0936179,-0.570697,0.666194,0.11477,0.635876,-0.700648,-0.848099,-0.576238,0.558959,-0.143188;0.530919,-1.23591,-1.13225,5.25264
103;-0.329107,-0.807643,0.00516769,-0.296279,0.733631,0.185545,0.812022,-0.756475,-0.670331,-0.0867865,0.109166,0.346966;1.22857,-3.01766,-0.247849,5.71776
104;0.114107,-0.955001,0.610089,-0.509748,0.0307832,-0.299155,0.695453,-0.73965,-0.461107,0.182418,0.29543,0.699306;2.31103,-7.26801,0.468353,4.36364
105;0.551736,-0.960089,0.917887,-0.585335,-0.0925834,-0.690206,0.603328,0.259322,0.0439762,0.60046,0.470994,0.881847;4.28001,-6.74245,3.19235,1.18436
106;-0.346624,-0.906585,0.941809,-0.296279,-0.24036,0.858341,0.853287,0.0300992,0.4201,-0.0585699,-0.19614,0.386842;-0.232236,-4.12198,3.82807,-0.197376
107;0.355717,-0.266645,-0.367759,0.202444,-0.113755,0.391245,0.83371,-0.0750463,-0.566461,0.0751431,0.597442,-0.0555479;0.629498,-1.87514,0.612838,3.389
108;0.358595,-0.105487,-0.443519,0.202444,0.092808,0.432125,0.48656,-0.0608189,-0.262694,-0.178704,0.470144,-0.169659;0.508572,1.99202,0.316872,3.26095
109;0.363278,-0.0626281,-0.559117,0.202444,0.394851,0.423159,0.347993,0.166047,-0.412701,-0.138691,0.482251,-0.229374;1.66764,3.82359,-0.430893,3.50934
110;0.370091,-0.040097,-0.596622,0.202444,0.381668,0.615944,0.308039,0.0611742,-0.551518,-0.142518,0.479611,-0.244988;1.92586,4.18279,-1.30075,3.90779
111;0.393992,-0.5375,-0.35224,-0.209149,0.206688,0.672373,0.364965,-0.176288,-0.827308,-0.538189,0.653275,-0.608134;0.649864,1.89921,-1.87976,3.67024
112;-0.149026,-0.373972,-0.711448,0.130097,0.428083,0.570554,0.857555,-0.443678,-0.595618,-0.0875963,0.273876,-0.115637;0.0276059,-0.172038,0.128794,5.14449
113;-0.334629,-0.811237,-0.324781,-0.296279,0.612054,0.40146,0.575506,-0.830369,-0.801709,0.00493314,0.276764,0.35418;1.80929,-2.05016,-1.33806,6.32926
114;0.179387,-0.84442,0.377681,-0.391514,0.54029,-0.553997,0.663224,-0.740126,-0.890806,0.517891,0.545462,0.737117;4.86239,-6.72714,-0.281121,5.77885
115;0.177576,-0.881232,0.919271,-0.391514,0.101194,-0.430782,0.6822,-0.438671,-0.424976,0.451673,0.241103,0.731463;4.11696,-7.78193,1.09457,3.29818
116;0.202703,-0.908929,0.899796,-0.570697,-0.193399,0.337965,0.66627,-0.534334,-0.348419,-0.503725,0.398785,-0.0773362;-0.0580116,-4.96094,0.82636,2.19364
117;0.195329,-0.838274,-0.0175075,-0.570697,0.600754,0.267781,0.682054,-0.472024,-0.727624,-0.540695,0.614826,-0.113493;0.0898057,-0.67297,-0.41866,4.65761
118;0.215154,-0.834161,0.00116251,-0.570697,0.644715,0.37464,0.64056,-0.665113,-0.875503,-0.588135,0.597829,-0.140327;0.328927,-0.413639,-1.35394,5.16121
119;0.216246,-0.831046,-0.114042,-0.570697,0.671389,0.163705,0.638018,-0.711691,-0.902872,-0.584538,0.623488,-0.141883;0.243905,-0.777872,-1.37541,5.6447
120;-0.328986,-0.807815,-0.0333173,-0.296279,0.737159,0.186606,0.812142,-0.773561,-0.697332,-0.1074,0.127646,0.34708;1.10281,-2.95342,-0.376139,5.85828
121;0.114197,-0.955005,0.609621,-0.509748,0.0501799,-0.313567,0.695546,-0.748536,-0.463665,0.176651,0.295801,0.69934;2.31329,-7.22878,0.462552,4.40232
122;0.552088,-0.96009,0.919723,-0.585335,-0.0871683,-0.695546,0.60333,0.257641,0.0457267,0.600383,0.466687,0.881847;4.29049,-6.73271,3.19404,1.18805
123;-0.3465,-0.906585,0.942299,-0.296279,-0.240292,0.857578,0.853287,0.0317703,0.421554,-0.0571856,-0.198106,0.386842;-0.225384,-4.12153,3.83242,-0.202795
124;0.355718,-0.266645,-0.36722,0.202444,-0.115049,0.392533,0.83371,-0.0738422,-0.565987,0.0757734,0.597254,-0.0555479;0.630954,-1.8771,0.614823,3.38375
125;0.358566,-0.105487,-0.444362,0.202444,0.0922162,0.433232,0.48656,-0.060467,-0.263098,-0.178646,0.470529,-0.169659;0.507156,1.9936,0.314982,3.26132
126;0.363264,-0.0626281,-0.559737,0.202444,0.394804,0.423564,0.347993,0.165726,-0.413283,-0.138812,0.482576,-0.229374;1.66671,3.82435,-0.433433,3.51161
127;0.37009,-0.040097,-0.596834,0.202444,0.381767,0.615755,0.308039,0.0607302,-0.55177,-0.142621,0.479731,-0.244988;1.92547,4.18226,-1.30181,3.90952
128;0.393994,-0.5375,-0.352105,-0.209149,0.206781,0.672104,0.364965,-0.176471,-0.82727,-0.538216,0.653234,-0.608134;0.650018,1.89851,-1.87953,3.67051
129;-0.149024,-0.373972,-0.71134,0.130097,0.428104,0.570404,0.857555,-0.443653,-0.595487,-0.0875831,0.273781,-0.115637;0.0277297,-0.172267,0.129289,5.14417
130;-0.334628,-0.811237,-0.324672,-0.296279,0.612046,0.401467,0.575506,-0.830338,-0.801662,0.00496392,0.276712,0.35418;1.80955,-2.05032,-1.33788,6.32895
131;0.179387,-0.84442,0.377676,-0.391514,0.54027,-0.55398,0.663224,-0.74011,-0.890806,0.517904,0.545464,0.737117;4.86241,-6.72718,-0.281115,5.77881
132;0.177576,-0.881232,0.919269,-0.391514,0.101182,-0.430767,0.6822,-0.438671,-0.424979,0.451672,0.241109,0.731463;4.11694,-7.78194,1.09456,3.29817
133;0.202702,-0.908929,0.899793,-0.570697,-0.193398,0.337966,0.66627,-0.534336,-0.348426,-0.503726,0.39879,-0.0773362;-0.0580161,-4.96095,0.82634,2.19366
134;0.195329,-0.838274,-0.0175082,-0.570697,0.600754,0.26778,0.682054,-0.472029,-0.727625,-0.540696,0.614827,-0.113493;0.0898012,-0.672971,-0.418664,4.65762
135;0.215154,-0.834161,0.00116338,-0.570697,0.644716,0.374636,0.64056,-0.665113,-0.875503,-0.588135,0.597829,-0.140327;0.328928,-0.41365,-1.35394,5.16122
136;0.216246,-0.831046,-0.114039,-0.570697,0.671389,0.163705,0.638018,-0.711691,-0.902871,-0.584538,0.623487,-0.141883;0.24391,-0.777878,-1.37541,5.64469
137;0.216909,-0.830864,0.0556786,-0.570697,0.67041,0.115958,0.636085,-0.721014,-0.861657,-0.589959,0.571603,-0.143061;0.427982,-1.15767,-1.20884,5.37044
