Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
62;-0.388771,-0.506461,0.792985,-0.352428,0.815572,0.225541,-0.648066,-0.87264,0.738209,0.432458,-0.221535,-0.738663;-7.22111,-0.552134,-4.14223,-0.01837
63;-0.433981,-0.506461,0.844718,-0.352428,0.70165,0.568502,-0.581935,-0.704135,0.781875,0.432458,-0.213269,-0.729164;-6.43995,-0.193379,-3.3923,-0.405627
64;-0.806647,-0.0644524,0.669846,-0.0799104,0.876105,0.0958581,-0.351939,-0.90674,0.569771,0.460738,-0.431214,-0.848919;-9.19985,-0.0654252,-6.93538,-0.776778
65;-0.19916,-0.270184,0.726609,-0.505792,0.942151,0.112517,-0.112431,-0.859191,0.109788,0.535598,-0.117098,-0.154567;-7.49502,-1.07635,-1.94489,-0.221591
66;-0.187275,-0.270184,0.498043,-0.505792,0.817119,0.530993,-0.374939,-0.636258,0.35485,0.535598,-0.125927,-0.175254;-5.33922,-0.825756,-0.331646,-0.378729
67;-0.916689,-0.424686,0.764649,-0.513808,-0.335549,0.251773,-0.745433,-0.831729,0.667461,0.212506,-0.515135,-0.836447;-4.14726,-0.717998,-5.55702,0.312363
68;-0.385677,-0.506461,0.793803,-0.352428,0.813649,0.230487,-0.648066,-0.872468,0.738209,0.432458,-0.220616,-0.737619;-7.20999,-0.549301,-4.11818,-0.0177758
69;-0.440103,-0.506461,0.844862,-0.352428,0.701564,0.570102,-0.581935,-0.70275,0.781875,0.432458,-0.2133,-0.7292;-6.43543,-0.19063,-3.40781,-0.414147
70;-0.807426,-0.0644524,0.669837,-0.0799104,0.876154,0.0960303,-0.351939,-0.9077,0.569771,0.460738,-0.431426,-0.849092;-9.2039,-0.0654637,-6.93816,-0.77731
71;-0.199261,-0.270184,0.72657,-0.505792,0.942171,0.112239,-0.112431,-0.859372,0.109788,0.535598,-0.11692,-0.154148;-7.49371,-1.07666,-1.94475,-0.221839
72;-0.187009,-0.270184,0.498195,-0.505792,0.816949,0.531112,-0.374939,-0.636311,0.35485,0.535598,-0.125894,-0.175176;-5.33877,-0.825744,-0.330825,-0.378478
73;-0.916719,-0.424686,0.764664,-0.513808,-0.335465,0.252022,-0.745433,-0.831656,0.667461,0.212506,-0.515128,-0.83644;-4.14736,-0.717881,-5.55659,0.312125
74;-0.385981,-0.506461,0.793804,-0.352428,0.813652,0.230517,-0.648066,-0.872474,0.738209,0.432458,-0.220629,-0.737634;-7.21007,-0.549208,-4.1191,-0.0181367
75;-0.440131,-0.506461,0.84486,-0.352428,0.701573,0.570092,-0.581935,-0.702886,0.781875,0.432458,-0.213299,-0.729199;-6.43583,-0.190646,-3.4079,-0.414134
76;-0.807421,-0.0644524,0.669837,-0.0799104,0.876153,0.0960288,-0.351939,-0.907704,0.569771,0.460738,-0.431405,-0.849075;-9.20378,-0.0654452,-6.93807,-0.77732
77;-0.199272,-0.270184,0.726573,-0.505792,0.942169,0.112266,-0.112431,-0.85937,0.109788,0.535598,-0.116919,-0.154146;-7.4937,-1.07664,-1.94473,-0.221868
78;-0.187046,-0.270184,0.498195,-0.505792,0.81695,0.531117,-0.374939,-0.636317,0.35485,0.535598,-0.125894,-0.175176;-5.33879,-0.825731,-0.330929,-0.378522
79;-0.91672,-0.424686,0.764664,-0.513808,-0.335464,0.252023,-0.745433,-0.831666,0.667461,0.212506,-0.515127,-0.836439;-4.14739,-0.717881,-5.55659,0.312125
80;-0.385982,-0.506461,0.793804,-0.352428,0.813652,0.230518,-0.648066,-0.872474,0.738209,0.432458,-0.220628,-0.737632;-7.21005,-0.549206,-4.1191,-0.0181404
81;-0.440133,-0.506461,0.84486,-0.352428,0.701572,0.570094,-0.581935,-0.702886,0.781875,0.432458,-0.213299,-0.729199;-6.43583,-0.190644,-3.40791,-0.414136
82;-0.807422,-0.0644524,0.669837,-0.0799104,0.876153,0.0960292,-0.351939,-0.907705,0.569771,0.460738,-0.431405,-0.849075;-9.20378,-0.0654447,-6.93807,-0.777321
83;-0.199272,-0.270184,0.726573,-0.505792,0.942169,0.112266,-0.112431,-0.859371,0.109788,0.535598,-0.116919,-0.154146;-7.4937,-1.07664,-1.94473,-0.221869
84;-0.187046,-0.270184,0.498195,-0.505792,0.81695,0.531117,-0.374939,-0.636317,0.35485,0.535598,-0.125894,-0.175176;-5.33879,-0.825731,-0.33093,-0.378522
85;-0.91672,-0.424686,0.764664,-0.513808,-0.335464,0.252023,-0.745433,-0.831666,0.667461,0.212506,-0.515127,-0.836439;-4.14738,-0.717881,-5.55659,0.312125
86;-0.385982,-0.506461,0.793804,-0.352428,0.813652,0.230518,-0.648066,-0.872474,0.738209,0.432458,-0.220628,-0.737632;-7.21005,-0.549206,-4.1191,-0.0181407
87;-0.440133,-0.506461,0.84486,-0.352428,0.701572,0.570094,-0.581935,-0.702886,0.781875,0.432458,-0.213299,-0.729199;-6.43583,-0.190644,-3.40791,-0.414136
88;-0.807422,-0.0644524,0.669837,-0.0799104,0.876153,0.0960292,-0.351939,-0.907705,0.569771,0.460738,-0.431405,-0.849075;-9.20378,-0.0654447,-6.93807,-0.777321
89;-0.199272,-0.270184,0.726573,-0.505792,0.942169,0.112266,-0.112431,-0.859371,0.109788,0.535598,-0.116919,-0.154146;-7.4937,-1.07664,-1.94473,-0.221869
90;-0.187046,-0.270184,0.498195,-0.505792,0.81695,0.531117,-0.374939,-0.636317,0.35485,0.535598,-0.125894,-0.175176;-5.33879,-0.825731,-0.33093,-0.378522
91;-0.91672,-0.424686,0.764664,-0.513808,-0.335464,0.252023,-0.745433,-0.831666,0.667461,0.212506,-0.515127,-0.836439;-4.14738,-0.717881,-5.55659,0.312125
92;-0.385982,-0.506461,0.793804,-0.352428,0.813652,0.230518,-0.648066,-0.872474,0.738209,0.432458,-0.220628,-0.737632;-7.21005,-0.549206,-4.1191,-0.0181407
93;-0.440133,-0.506461,0.84486,-0.352428,0.701572,0.570094,-0.581935,-0.702887,0.781875,0.432458,-0.213299,-0.729199;-6.43583,-0.190644,-3.40791,-0.414136
94;-0.807422,-0.0644524,0.669837,-0.0799104,0.876153,0.0960292,-0.351939,-0.907705,0.569771,0.460738,-0.431405,-0.849075;-9.20378,-0.0654447,-6.93807,-0.777321
95;-0.199272,-0.270184,0.726573,-0.505792,0.942169,0.112266,-0.112431,-0.859371,0.109788,0.535598,-0.116919,-0.154146;-7.4937,-1.07664,-1.94473,-0.221869
96;-0.187046,-0.270184,0.498195,-0.505792,0.81695,0.531117,-0.374939,-0.636317,0.35485,0.535598,-0.125894,-0.175176;-5.33879,-0.825731,-0.33093,-0.378522
97;-0.91672,-0.424686,0.764664,-0.513808,-0.335464,0.252023,-0.745433,-0.831666,0.667461,0.212506,-0.515127,-0.836439;-4.14738,-0.717881,-5.55659,0.312125
98;-0.385982,-0.506461,0.793804,-0.352428,0.813652,0.230518,-0.648066,-0.872474,0.738209,0.432458,-0.220628,-0.737632;-7.21005,-0.549206,-4.1191,-0.0181407
99;-0.440133,-0.506461,0.84486,-0.352428,0.701572,0.570094,-0.581935,-0.702887,0.781875,0.432458,-0.213299,-0.729199;-6.43583,-0.190644,-3.40791,-0.414136
100;-0.807422,-0.0644524,0.669837,-0.0799104,0.876153,0.0960292,-0.351939,-0.907705,0.569771,0.460738,-0.431405,-0.849075;-9.20378,-0.0654447,-6.93807,-0.777321
101;-0.199272,-0.270184,0.726573,-0.505792,0.942169,0.112266,-0.112431,-0.859371,0.109788,0.535598,-0.116919,-0.154146;-7.4937,-1.07664,-1.94473,-0.221869
102;-0.187046,-0.270184,0.498195,-0.505792,0.81695,0.531117,-0.374939,-0.636317,0.35485,0.535598,-0.125894,-0.175176;-5.33879,-0.825731,-0.33093,-0.378522
103;-0.91672,-0.424686,0.764664,-0.513808,-0.335464,0.252023,-0.745433,-0.831666,0.667461,0.212506,-0.515127,-0.836439;-4.14738,-0.717881,-5.55659,0.312125
104;-0.385982,-0.506461,0.793804,-0.352428,0.813652,0.230518,-0.648066,-0.872474,0.738209,0.432458,-0.220628,-0.737632;-7.21005,-0.549206,-4.1191,-0.0181407
105;-0.440133,-0.506461,0.84486,-0.352428,0.701572,0.570094,-0.581935,-0.702887,0.781875,0.432458,-0.213299,-0.729199;-6.43583,-0.190644,-3.40791,-0.414136
106;-0.807422,-0.0644524,0.669837,-0.0799104,0.876153,0.0960292,-0.351939,-0.907705,0.569771,0.460738,-0.431405,-0.849075;-9.20378,-0.0654447,-6.93807,-0.777321
107;-0.199272,-0.270184,0.726573,-0.505792,0.942169,0.112266,-0.112431,-0.859371,0.109788,0.535598,-0.116919,-0.154146;-7.4937,-1.07664,-1.94473,-0.221869
108;-0.187046,-0.270184,0.498195,-0.505792,0.81695,0.531117,-0.374939,-0.636317,0.35485,0.535598,-0.125894,-0.175176;-5.33879,-0.825731,-0.33093,-0.378522
109;-0.91672,-0.424686,0.764664,-0.513808,-0.335464,0.252023,-0.745433,-0.831666,0.667461,0.212506,-0.515127,-0.836439;-4.14738,-0.717881,-5.55659,0.312125
110;-0.385982,-0.506461,0.793804,-0.352428,0.813652,0.230518,-0.648066,-0.872474,0.738209,0.432458,-0.220628,-0.737632;-7.21005,-0.549206,-4.1191,-0.0181407
111;-0.440133,-0.506461,0.84486,-0.352428,0.701572,0.570094,-0.581935,-0.702887,0.781875,0.432458,-0.213299,-0.729199;-6.43583,-0.190644,-3.40791,-0.414136
112;-0.807422,-0.0644524,0.669837,-0.0799104,0.876153,0.0960292,-0.351939,-0.907705,0.569771,0.460738,-0.431405,-0.849075;-9.20378,-0.0654447,-6.93807,-0.777321
113;-0.199272,-0.270184,0.726573,-0.505792,0.942169,0.112266,-0.112431,-0.859371,0.109788,0.535598,-0.116919,-0.154146;-7.4937,-1.07664,-1.94473,-0.221869
114;-0.319714,-0.146766,0.300687,0.00399802,0.64111,0.0583372,-0.25494,-0.64603,0.384752,0.685709,-0.593771,-0.569058;-7.79559,-0.82994,-4.21384,-0.331113
115;-0.0897364,-0.146766,0.488732,0.00399802,0.395368,-0.824936,0.0758277,-0.704004,0.244169,0.685709,-0.619182,-0.630079;-8.3717,-1.02584,-5.844,0.339135
116;0.76146,-0.490476,0.70495,-0.44929,0.346074,-0.344434,-0.394981,-0.518921,0.60919,0.506014,-0.668634,-0.566405;-6.64297,-1.94892,-2.05878,1.58672
117;0.26737,-0.424686,0.837007,-0.513808,0.506841,-0.116453,-0.728387,-0.338948,0.795176,0.212506,-0.531195,-0.851534;-5.89673,-1.34692,-3.83941,1.25999
118;0.12219,-0.506461,0.854053,-0.352428,0.845828,0.311223,-0.648066,-0.285766,0.738209,0.432458,-0.30695,-0.822868;-6.45459,-0.658841,-3.02795,0.403041
119;-0.485577,-0.506461,0.832745,-0.352428,0.776626,0.557149,-0.581935,-0.399132,0.781875,0.432458,-0.316,-0.830399;-6.50051,-0.253797,-4.04377,-0.492729
120;-0.775829,-0.0644524,0.642195,-0.0799104,0.896886,-0.0505276,-0.351939,-0.914542,0.569771,0.460738,-0.476826,-0.882881;-9.51012,-0.205909,-7.29418,-0.626629
121;0.0340441,-0.270184,0.718827,-0.505792,0.942626,0.0147099,-0.112431,-0.851871,0.109788,0.535598,-0.115648,-0.151159;-7.47516,-1.19301,-1.43459,0.102742
122;-0.0525181,-0.270184,0.499272,-0.505792,0.812715,0.523974,-0.374939,-0.496902,0.35485,0.535598,-0.127285,-0.178426;-4.97145,-0.848044,0.0480017,-0.258333
123;-0.914951,-0.424686,0.764016,-0.513808,-0.331127,0.251884,-0.745433,-0.791072,0.667461,0.212506,-0.534167,-0.854218;-4.17218,-0.731122,-5.63482,0.316568
124;-0.375268,-0.506461,0.790628,-0.352428,0.819921,0.206845,-0.648066,-0.872099,0.738209,0.432458,-0.227893,-0.745799;-7.27498,-0.570702,-4.16925,0.0128189
125;-0.408922,-0.506461,0.843735,-0.352428,0.7042,0.560683,-0.581935,-0.69805,0.781875,0.432458,-0.213366,-0.729277;-6.43403,-0.204736,-3.3337,-0.374587
126;-0.802739,-0.0644524,0.669816,-0.0799104,0.875859,0.0942913,-0.351939,-0.90271,0.569771,0.460738,-0.432147,-0.849678;-9.19395,-0.0676753,-6.93103,-0.77178
127;-0.196457,-0.270184,0.726437,-0.505792,0.942241,0.111316,-0.112431,-0.858282,0.109788,0.535598,-0.117847,-0.156326;-7.50021,-1.07694,-1.94315,-0.216649
128;-0.185173,-0.270184,0.497409,-0.505792,0.817694,0.530134,-0.374939,-0.63483,0.35485,0.535598,-0.126096,-0.175648;-5.33804,-0.826693,-0.326227,-0.37608
129;-0.916478,-0.424686,0.76457,-0.513808,-0.33584,0.250692,-0.745433,-0.831154,0.667461,0.212506,-0.515333,-0.836639;-4.14572,-0.71858,-5.55939,0.313319
130;-0.384271,-0.506461,0.793769,-0.352428,0.813688,0.230141,-0.648066,-0.872423,0.738209,0.432458,-0.220719,-0.737737;-7.21085,-0.549949,-4.11508,-0.0158428
131;-0.439656,-0.506461,0.844846,-0.352428,0.701609,0.56998,-0.581935,-0.702118,0.781875,0.432458,-0.213308,-0.729209;-6.43392,-0.190762,-3.40678,-0.413773
132;-0.807365,-0.0644524,0.669834,-0.0799104,0.876152,0.0959967,-0.351939,-0.90763,0.569771,0.460738,-0.431523,-0.849171;-9.2043,-0.0655856,-6.93845,-0.77716
133;-0.199155,-0.270184,0.726552,-0.505792,0.94218,0.112116,-0.112431,-0.859357,0.109788,0.535598,-0.116933,-0.154178;-7.4938,-1.07674,-1.94474,-0.221628
134;-0.319516,-0.146766,0.300672,0.00399802,0.641116,0.0582878,-0.25494,-0.645969,0.384752,0.685709,-0.593773,-0.569062;-7.79546,-0.830016,-4.21331,-0.33087
135;-0.0896662,-0.146766,0.488731,0.00399802,0.395357,-0.824944,0.0758277,-0.703916,0.244169,0.685709,-0.619189,-0.630095;-8.37149,-1.02584,-5.84384,0.33921
136;0.761467,-0.490476,0.704946,-0.44929,0.346088,-0.344444,-0.394981,-0.518875,0.60919,0.506014,-0.668643,-0.566432;-6.64299,-1.94891,-2.05884,1.58674
137;0.267388,-0.424686,0.837003,-0.513808,0.506859,-0.11647,-0.728387,-0.338943,0.795176,0.212506,-0.531201,-0.851539;-5.89681,-1.34694,-3.83942,1.26002
