Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
33;-0.367305,0.589449,0.673911,0.646903,-0.444592,-0.380692,-0.660344,-0.568236,-0.680061,-0.351169,-0.192649,0.10598,0.603081,-0.957062,0.215273,-0.525495,0.824361,-0.876155,0.676958,0.639902,-0.598504,-0.777863,-0.235301,0.440993,0.426478,-0.621546,0.468229,0.27824,-0.853011,-0.330419,0.0963715,-0.936295,0.211158,0.78905,-0.340038,0.874449,-0.254099,0.346362,0.242389,0.0686811,-0.0145462,0.414524,0.324418,0.321379,-0.404083,0.932335,-0.729496,0.880882,-0.437741,-0.566089;-0.149005,-5.17059,-1.78529,0.322217
34;-0.568357,0.791845,0.832438,0.531691,-0.447753,-0.243519,-0.73838,-0.457242,-0.678754,-0.576204,0.0242323,-0.016054,0.758682,-0.938339,0.222936,-0.250593,0.93578,-0.893639,0.81946,0.826272,-0.621069,-0.763111,-0.0116708,0.398657,0.560408,-0.63083,0.388164,0.434342,-0.916931,-0.486546,0.111604,-0.948102,-0.253037,0.58956,-0.316879,0.636364,-0.149402,-0.337741,0.655804,-0.217799,-0.0103626,0.6293,0.00608336,0.551599,-0.421386,0.973119,-0.577921,0.950952,-0.105912,-0.575088;-1.6018,-7.11673,-0.667756,1.31744
35;-0.564903,0.849385,0.812324,0.495288,-0.449832,-0.353484,-0.781645,-0.150328,-0.594644,-0.591399,-0.213493,0.0223377,0.892014,-0.978896,0.0623222,-0.243723,0.952344,-0.87428,0.85256,0.813729,-0.431095,-0.760666,-0.139253,0.561992,0.180499,-0.629549,0.462443,0.454374,-0.922047,-0.544797,0.160318,-0.94731,-0.453163,0.631967,-0.22161,0.712362,0.0322247,-0.262372,0.660667,0.100979,-0.280266,0.593526,0.365608,0.751743,-0.468016,0.973367,-0.647797,0.941181,-0.00515692,-0.621783;-1.00709,-6.5062,-0.183205,-0.255738
36;-0.653412,0.679843,0.71611,0.635393,-0.0631974,0.190971,-0.661353,-0.164656,-0.00604188,-0.785372,-0.171273,0.478309,0.562712,-0.968706,-0.242677,-0.262987,0.842709,-0.851655,0.705301,0.670982,0.254981,-0.493934,-0.00789742,0.34618,0.0935179,-0.144033,0.515884,0.349302,-0.856855,-0.488066,0.366014,-0.887302,-0.0980715,0.405063,-0.218499,0.669015,-0.0862755,-0.39045,0.774734,0.0644042,-0.218189,0.601166,0.355387,0.867039,-0.639001,0.920895,-0.228688,0.804535,0.142814,-0.693279;-2.50139,-2.24588,0.134571,0.297435
37;-0.552708,0.481631,0.566114,0.561145,-0.0614666,0.193365,-0.602001,-0.218779,-0.199229,-0.714748,-0.179275,0.601077,0.527838,-0.957741,-0.255083,-0.316714,0.650319,-0.785076,0.666593,0.455448,0.325454,-0.473901,-0.220961,0.225077,0.281266,-0.143754,0.426146,-0.0538649,-0.774156,-0.43225,0.327203,-0.887963,0.116996,0.603767,-0.107561,0.654746,0.0663261,0.0660505,0.564071,0.280283,-0.26945,0.432891,0.638627,0.640163,-0.636456,0.875714,-0.510592,0.747651,0.0213657,-0.763626;-2.17699,-0.630005,-0.214342,-0.484766
38;-0.143672,0.506425,0.241387,0.735552,0.368643,0.214259,-0.152231,-0.175182,-0.525746,-0.256954,0.453463,0.565427,-0.255204,-0.945351,-0.540414,-0.692082,0.711638,-0.62566,0.578225,0.174918,0.430761,-0.755264,0.472689,-0.3014,0.446285,0.281829,0.451766,-0.205382,-0.901845,-0.0231522,0.567146,-0.771348,0.36125,0.132103,-0.615325,0.904297,-0.0376201,-0.127576,0.814907,0.347124,0.11235,0.164107,-0.0887702,0.613863,-0.289082,0.780056,0.00511741,0.313183,0.293854,-0.627519;-2.88421,-2.9183,-2.19052,0.439991
39;-0.567154,-0.636913,-0.379847,0.292179,0.395884,0.131921,0.338394,-0.124343,-0.424316,0.433642,0.565007,0.269611,0.176105,-0.466533,-0.439617,-0.835464,0.663378,-0.677527,0.0166677,-0.500779,0.111179,-0.46945,0.612463,-0.156636,0.518007,0.454468,-0.136255,-0.794095,-0.789651,0.469819,0.577376,-0.895586,0.582586,-0.199305,-0.424305,0.752007,0.0180844,0.555401,0.273265,0.519228,-0.501187,-0.606522,-0.620519,-0.123425,-0.126739,0.51733,-0.534655,-0.0916851,0.621189,-0.860916;-5.35154,-3.81163,-2.95779,1.4807
40;-0.344761,-0.365368,0.139347,0.29094,-0.0191497,-0.841498,0.263604,-0.41358,-0.528066,0.885761,0.476864,-0.419115,0.62265,-0.770701,0.0745219,-0.83474,0.839721,-0.509797,-0.0598025,-0.148206,-0.686799,-0.794428,0.620969,-0.012614,0.544015,-0.0788891,-0.167825,0.321691,-0.926132,0.228374,0.50536,-0.872707,0.273745,-0.401001,-0.313064,0.85896,-0.382026,0.675653,0.156995,0.112505,-0.320386,-0.676513,-0.770791,-0.713513,0.20586,0.485568,-0.199062,-0.386684,0.334512,-0.731855;-0.496168,-9.25683,-3.91849,3.97368
41;-0.916826,-0.258679,0.509912,-0.194151,0.0194626,-0.3644,-0.53824,-0.385098,-0.528892,0.771725,0.919112,-0.973247,0.925099,-0.934515,0.370152,-0.581748,0.977,0.124293,-0.160283,-0.395666,-0.448986,-0.660894,0.737067,-0.0122766,0.339313,-0.768874,-0.80062,0.489734,-0.967867,0.180394,0.442,-0.914091,-0.771493,-0.722506,0.856472,0.26019,-0.243915,-0.343934,0.381763,-0.603125,-0.873619,0.230404,-0.903327,-0.384714,0.556679,0.690531,0.0915259,-0.437891,0.711243,-0.967894;-0.368517,-15.4731,2.67737,4.89435
42;-0.723574,-0.341006,0.49102,-0.0557858,-0.00110827,-0.431599,-0.689188,0.0889726,-0.29824,0.858136,0.938106,-0.970713,0.972593,-0.994791,0.289801,-0.71427,0.994098,0.315951,0.386124,-0.478603,0.0833451,-0.666654,0.527536,0.450835,-0.615938,-0.721278,-0.709951,0.783879,-0.977732,-0.293992,0.592437,-0.802094,-0.914991,-0.592938,0.873953,0.475419,0.441635,-0.215286,0.314173,-0.0768728,-0.924785,-0.297482,-0.70942,0.222195,0.548866,0.838424,0.431219,-0.397386,0.695306,-0.974128;0.911116,-14.526,3.30112,1.56348
