Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
58;0.540065,0.160411,-0.256939,0.309487,0.373016,0.175898,-0.719615,0.359249,0.296827,-0.220982,0.0155556,-0.956911;-2.08016,-7.68569,-0.591179,0.790767
59;-0.177864,-0.343113,0.410439,0.631987,0.561107,0.0153992,-0.641693,-0.215878,-0.0708294,0.333632,-0.137894,-0.736545;0.75253,-3.59494,-2.09721,0.901222
60;-0.213025,0.21066,0.36628,0.441713,0.837547,0.347434,-0.631375,-0.313563,-0.0492501,0.648033,0.570947,-0.00747294;0.108295,-4.9077,-3.07126,0.686807
61;-0.136951,0.618772,-0.381209,0.734333,0.724726,0.283079,-0.320281,-0.656237,0.201548,-0.260577,0.581392,0.26259;-2.96062,-6.47221,-1.85282,-0.190231
62;0.06389,0.618772,-0.388028,0.734333,0.724726,0.283079,0.055921,-0.649614,-0.159973,-0.278736,-0.13917,0.0813929;-2.17527,-5.88246,-1.46872,-1.39228
63;0.129796,0.618772,0.141666,0.734333,0.724726,0.283079,-0.0986613,-0.649481,-0.318885,0.351677,-0.0142573,0.3737;0.257534,-5.50712,-2.6554,-0.880639
64;0.523155,0.625072,-0.0262461,0.0495768,0.748868,0.481449,0.0351803,0.262935,-0.00727598,0.512607,-0.0295449,-0.223451;-0.302475,-6.28876,-1.76296,-0.446403
65;0.313086,0.3618,-0.23231,0.399256,-0.00226842,-0.13993,-0.652363,0.133014,-0.306661,0.288841,0.103982,-0.456775;-0.792024,-7.51437,-0.527974,-0.0798994
66;0.212222,0.3618,-0.326531,0.399256,-0.00226842,-0.13993,-0.737659,0.135806,-0.0841583,0.108441,0.188439,-0.792733;-1.33021,-8.70047,0.109664,0.187733
67;0.326492,0.3618,-0.383069,0.399256,-0.00226842,-0.13993,-0.836086,0.138055,-0.0432168,0.0322416,0.32528,-0.836379;-1.74825,-9.22498,0.221082,0.330374
