Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
168;0.811216,0.0710832,-0.500736,0.159409,-0.579204,0.837246,-0.830894,-0.00477074,0.329124,0.147502;0.605267,-9.40441,-0.26863,0.658832
169;0.857578,0.212063,-0.500736,0.170737,-0.579204,0.837246,-0.82508,0.0165425,0.344064,0.147502;0.65786,-10.8504,-0.208955,0.601501
170;0.630888,0.50345,-0.565182,0.670453,-0.125644,0.955726,-0.039378,0.1703,0.186469,-0.653945;-0.22611,-13.7087,0.246442,0.105807
171;-0.174243,0.605929,-0.243274,0.76724,0.796189,0.787221,0.695851,-0.208797,-0.00986529,-0.75339;0.126889,-12.2065,0.622544,1.71693
172;-0.107127,0.667416,-0.243274,0.725794,0.796189,0.787221,0.659836,-0.213018,0.113033,-0.75339;0.318585,-12.8978,0.675102,1.98953
173;-0.12164,0.660285,-0.243274,0.727961,0.796189,0.787221,0.659323,-0.213018,0.0925373,-0.75339;0.292339,-12.7652,0.668286,1.96135
174;-0.120883,0.659378,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0949186,-0.75339;0.294128,-12.7626,0.668724,1.96473
175;-0.120872,0.659447,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0952216,-0.75339;0.294425,-12.7635,0.668803,1.9652
176;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951984,-0.75339;0.294405,-12.7635,0.668799,1.96516
177;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951981,-0.75339;0.294405,-12.7635,0.668798,1.96516
178;-0.120872,0.659448,-0.243274,0.727992,0.796189,0.787221,0.659323,-0.213018,0.0951981,-0.75339;0.294405,-12.7635,0.668798,1.96516
179;0.129926,0.839441,-0.123071,0.416643,0.516669,0.918013,0.416169,-0.370259,0.434915,-0.690953;1.13244,-13.9358,0.606071,2.64908
180;-0.0442944,0.900952,-0.287727,0.0443299,0.0224865,0.96921,0.570621,-0.724529,0.427048,-0.596549;1.7191,-13.7884,-0.690178,2.58899
181;0.315677,0.857479,-0.269904,0.366074,-0.0275857,0.914599,0.154553,-0.414035,0.197445,-0.19131;1.09473,-15.4964,-0.204088,1.11138
182;0.423599,0.869736,-0.269904,0.411126,-0.0275857,0.914599,0.160752,-0.399011,0.219814,-0.19131;1.07571,-16.1146,-0.147822,0.989168
183;-0.00758712,0.788681,-0.123071,0.467786,0.516669,0.918013,0.308853,-0.348519,0.364473,-0.690953;0.927955,-12.5858,0.678409,2.60063
184;0.481911,0.749757,-0.103995,0.689796,0.479013,0.782623,0.00221135,0.0862835,0.315511,-0.341423;0.431774,-15.1388,1.26509,1.3748
185;0.559214,0.776552,-0.103995,0.709754,0.479013,0.782623,0.0435729,0.101671,0.3356,-0.341423;0.446145,-15.8914,1.28003,1.27114
186;0.395448,0.379669,-0.15682,0.347959,0.502887,0.364372,-0.319125,-0.339444,0.241984,-0.0499623;0.854002,-8.837,0.827458,2.84376
187;0.358052,0.162142,-0.15682,0.387957,0.502887,0.364372,-0.437361,-0.32794,0.340517,-0.0499623;0.762912,-6.55027,0.910241,3.06283
188;0.370362,0.138947,-0.15682,0.400696,0.502887,0.364372,-0.435358,-0.32794,0.403616,-0.0499623;0.795783,-6.4725,0.925287,3.1332
189;0.374255,0.145283,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.410137,-0.0499623;0.805181,-6.54518,0.928578,3.14169
190;0.37419,0.145785,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.40836,-0.0499623;0.803836,-6.54758,0.928314,3.1389
191;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408219,-0.0499623;0.803709,-6.54738,0.928283,3.13867
192;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
193;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
194;0.37419,0.145775,-0.15682,0.400482,0.502887,0.364372,-0.435358,-0.32794,0.408221,-0.0499623;0.803711,-6.54738,0.928283,3.13868
195;0.281412,0.600507,0.0663659,0.555084,0.469126,0.527088,0.0914267,0.212299,0.243594,-0.552082;-0.00216985,-11.0365,1.62774,1.65031
