Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
20;0.0885905,0.456342,-0.158416,-0.757374,0.377604,0.502509,0.836623,-0.191749,0.258756,0.447102,0.582802,-0.921914;-4.45089,-1.87309,0.79939,0.3745
21;0.173937,0.111535,0.152204,-0.43355,-0.118331,-0.653031,0.740329,0.500247,0.689258,-0.918417,-0.352762,-0.712811;-2.79264,0.0924427,-2.34262,1.3859
22;0.173937,-0.187721,-0.359461,-0.509464,-0.033789,-0.884624,-0.454546,0.500247,0.771657,-0.831831,-0.352762,-0.101066;-3.9978,1.09724,-2.52722,-0.155431
23;0.147985,-0.688821,-0.795341,-0.296397,0.138444,-0.962983,0.879045,0.597271,0.499897,-0.361123,0.27355,-0.327708;-4.91956,-0.676692,-1.23737,0.186155
24;0.147985,0.353211,-0.717201,-0.269053,0.453277,-0.651009,0.990773,0.597271,0.518369,-0.504299,0.27355,-0.547725;-5.4152,0.720137,-1.61167,0.316115
25;0.0885905,0.443744,0.000846435,-0.784917,0.325217,0.250599,0.966666,-0.191749,0.436244,0.271417,0.582802,-0.950951;-4.48413,-1.86524,0.229701,0.367726
26;0.0885905,0.462361,-0.135092,-0.757374,0.379529,0.509496,0.849246,-0.191749,0.258756,0.431596,0.582802,-0.927088;-4.44407,-1.87855,0.776161,0.404541
27;0.173937,0.121554,0.154211,-0.43355,-0.121628,-0.650126,0.723688,0.500247,0.689258,-0.918144,-0.352762,-0.714319;-2.78427,0.106134,-2.35382,1.38473
28;0.173937,-0.200606,-0.362523,-0.509464,-0.0405782,-0.887361,-0.456991,0.500247,0.771657,-0.831044,-0.352762,-0.0958563;-3.99917,1.08341,-2.52679,-0.154031
29;0.147985,-0.689853,-0.79799,-0.296397,0.147147,-0.963102,0.880111,0.597271,0.499897,-0.357376,0.27355,-0.318003;-4.91872,-0.661987,-1.23402,0.168219
30;0.147985,0.353961,-0.712657,-0.269053,0.453853,-0.649885,0.990848,0.597271,0.518369,-0.509044,0.27355,-0.557373;-5.42182,0.710111,-1.60728,0.324116
31;0.0885905,0.443792,0.00146248,-0.784917,0.324876,0.249313,0.966205,-0.191749,0.436244,0.271601,0.582802,-0.951039;-4.47996,-1.86574,0.228074,0.366842
