Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
75;0.963835,-0.490066,0.175925,0.518643,0.96799,-0.649984,0.948778,0.546297,-0.792873,0.0459534,0.65914,0.583213;-2.89685,1.67526,-8.28221,1.75531
76;0.968529,-0.490066,0.497705,0.366002,0.967608,-0.276103,0.948932,0.546297,-0.649528,-0.301858,0.293721,0.258554;-4.4429,1.15971,-8.18405,0.917748
77;0.908784,-0.262097,0.720587,-0.116876,0.888657,0.11898,0.952475,-0.258242,-0.645059,-0.410164,0.474551,-0.611999;-0.373991,-1.06947,-8.7073,1.83407
78;0.931225,-0.617364,0.205239,0.381222,0.897807,0.0482981,0.930075,0.0520431,-0.759023,0.656817,0.203748,-0.522182;-3.00831,-2.25009,-6.03211,2.93466
79;0.947323,-0.617364,0.728098,0.319917,0.902088,-0.226086,0.930805,0.0520431,0.036363,0.610413,0.9295,0.542363;-0.766946,0.891025,-6.55226,0.898159
80;0.945559,-0.617364,0.683944,0.651131,0.905053,0.47464,0.931144,0.0520431,-0.519872,-0.207293,0.920758,0.504915;-1.75604,2.81102,-6.93145,0.369921
81;0.88802,0.278205,0.920132,0.491708,0.922697,0.703226,0.880645,-0.109849,-0.473674,-0.256451,0.282317,-0.520106;-4.57412,-0.997637,-4.39228,1.80179
82;0.878345,0.278205,0.876525,0.185213,0.913643,0.213952,0.882977,-0.109849,-0.665863,0.553533,0.228123,-0.558854;-4.31093,-2.68354,-5.15676,3.06465
83;0.857515,0.278205,0.725755,0.0795114,0.912024,0.160204,0.881786,-0.109849,-0.393131,0.576326,0.867716,0.263441;-2.08912,-0.462888,-5.88105,2.48932
84;0.849598,0.278205,0.645565,0.228407,0.908439,0.674593,0.881571,-0.109849,-0.230708,-0.0535867,0.874951,0.286874;-2.41568,0.694516,-5.19536,1.56211
85;0.860639,0.278205,0.753857,0.312691,0.907041,0.678626,0.881096,-0.109849,-0.385972,-0.0737531,0.461961,-0.384656;-3.66278,-1.18799,-4.84088,2.08749
86;0.866552,0.278205,0.801597,0.232206,0.908986,0.381652,0.88091,-0.109849,-0.491727,0.467145,0.439685,-0.403602;-3.69775,-2.14906,-4.99323,2.8167
87;0.86091,0.278205,0.756207,0.175426,0.910011,0.361918,0.881168,-0.109849,-0.350995,0.479846,0.83506,0.171985;-2.48459,-0.502684,-5.44987,2.34329
88;0.899175,-0.262097,0.561304,0.0535678,0.863641,0.588956,0.949193,-0.258242,-0.625237,-0.346094,0.913084,0.156113;-0.167529,1.42755,-7.92975,1.27205
89;0.705377,-0.0700848,0.797751,0.341027,0.854132,0.696959,0.828753,0.362078,-0.505412,-0.0714183,0.385791,-0.401149;-5.09057,-1.41616,-6.46885,1.61703
90;0.81575,-0.55411,0.844022,-0.268261,0.697449,0.206772,0.924693,0.221607,-0.81233,0.0236176,0.799547,-0.148813;-0.961581,-0.503441,-11.4246,1.62426
91;0.872969,-0.262097,-0.00347203,0.0308784,0.851663,0.564598,0.935062,-0.258242,-0.771382,-0.0835878,0.678217,-0.336443;-0.288126,-0.77939,-7.16173,2.7589
92;0.93644,-0.617364,0.397543,0.319151,0.890607,0.252155,0.927046,0.0520431,-0.0360751,0.499826,0.558489,-0.212774;-1.87201,-1.43584,-5.77253,1.75609
93;0.945537,-0.617364,0.683356,0.627128,0.903058,0.13382,0.930231,0.0520431,-0.242428,0.415472,0.893459,0.407718;-1.59601,1.25486,-5.9903,1.00013
94;0.886611,0.278205,0.914665,0.600405,0.922694,0.688759,0.880378,-0.109849,-0.248695,-0.176448,0.81165,0.115713;-3.12126,0.850019,-4.42438,1.30224
95;0.885023,0.278205,0.908159,0.303568,0.913409,0.641952,0.882977,-0.109849,-0.643226,0.0738859,0.327882,-0.494633;-4.40393,-1.55339,-5.22128,2.36644
96;0.865923,0.278205,0.796858,0.0921026,0.913144,0.258175,0.881755,-0.109849,-0.572827,0.538079,0.588046,-0.257774;-2.96721,-1.91496,-6.01308,2.95619
97;0.850562,0.278205,0.656005,0.131056,0.909903,0.486613,0.88172,-0.109849,-0.319935,0.377179,0.862393,0.247373;-2.40857,-0.194671,-5.42174,2.20271
98;0.853508,0.278205,0.686761,0.266902,0.907212,0.671601,0.88129,-0.109849,-0.234537,-0.0397322,0.794435,0.0735069;-2.61049,0.0411466,-5.10569,1.74729
99;0.863369,0.278205,0.776781,0.310753,0.907734,0.631429,0.880933,-0.109849,-0.42026,0.110045,0.476119,-0.371449;-3.72339,-1.42266,-4.81684,2.30248
100;0.866418,0.278205,0.800599,0.21395,0.909461,0.394018,0.881002,-0.109849,-0.452289,0.458175,0.61744,-0.219852;-3.12755,-1.60087,-5.35209,2.68267
101;0.8596,0.278205,0.744738,0.196759,0.909988,0.509335,0.881232,-0.109849,-0.353285,0.34873,0.83142,0.162286;-2.62911,-0.292977,-5.40055,2.18209
102;0.858356,0.278205,0.733521,0.24946,0.908804,0.653745,0.881302,-0.109849,-0.337733,0.0337621,0.779812,0.0419705;-2.73195,-0.115925,-5.38375,1.907
103;0.862138,0.278205,0.766635,0.257614,0.908587,0.622304,0.881144,-0.109849,-0.438489,0.13688,0.549847,-0.298938;-3.43716,-1.28914,-5.17464,2.33485
104;0.862715,0.278205,0.771427,0.204181,0.909247,0.456074,0.881115,-0.109849,-0.434034,0.407274,0.639648,-0.191267;-3.07602,-1.45839,-5.35614,2.60635
105;0.858895,0.278205,0.738414,0.206572,0.909347,0.526045,0.881203,-0.109849,-0.342884,0.326848,0.808867,0.106707;-2.67276,-0.435097,-5.33896,2.20402
106;0.859068,0.278205,0.739975,0.254917,0.908681,0.640267,0.881216,-0.109849,-0.339473,0.0816208,0.767812,0.0176534;-2.78581,-0.264114,-5.32292,1.97883
107;0.903294,-0.262097,0.634598,0.0600033,0.863171,0.541964,0.949114,-0.258242,-0.707154,-0.223783,0.764234,-0.27804;-0.449252,-0.0972992,-8.12635,1.85811
108;0.930362,-0.0835754,-0.106965,0.597156,0.955139,0.081513,0.957133,0.288358,-0.901179,-0.0380139,0.0116545,-0.28096;-5.37412,-0.87116,-4.68578,2.87584
109;0.969844,-0.490066,0.577821,0.262398,0.965396,-0.739376,0.948166,0.546297,-0.453124,0.409665,0.180807,0.169507;-4.54254,-0.500193,-7.48833,1.58292
110;0.963834,-0.490066,0.175818,0.518424,0.96799,-0.649946,0.948778,0.546297,-0.792644,0.0459074,0.660381,0.584404;-2.89253,1.67865,-8.28518,1.75469
111;0.968526,-0.490066,0.497468,0.366113,0.967608,-0.274924,0.948932,0.546297,-0.649469,-0.302793,0.293664,0.258507;-4.44407,1.16114,-8.18329,0.916627
112;0.908789,-0.262097,0.720663,-0.116843,0.888656,0.118922,0.952475,-0.258242,-0.645131,-0.41013,0.47357,-0.612649;-0.377471,-1.07139,-8.70487,1.83411
113;0.931226,-0.617364,0.205284,0.381188,0.897808,0.047292,0.930075,0.0520431,-0.759054,0.657136,0.203792,-0.522154;-3.00686,-2.25058,-6.03284,2.93526
114;0.947322,-0.617364,0.728075,0.319902,0.902088,-0.226043,0.930805,0.0520431,0.0364454,0.610398,0.929559,0.542613;-0.766957,0.891794,-6.55197,0.897802
115;0.945559,-0.617364,0.683932,0.651158,0.905053,0.474687,0.931144,0.0520431,-0.519858,-0.207501,0.920755,0.504902;-1.75596,2.81134,-6.93151,0.369693
116;0.888022,0.278205,0.920138,0.491714,0.922697,0.703225,0.880645,-0.109849,-0.473731,-0.256441,0.282058,-0.520275;-4.57506,-0.998119,-4.3917,1.80185
117;0.878345,0.278205,0.876527,0.185182,0.913643,0.213699,0.882977,-0.109849,-0.665865,0.553634,0.228136,-0.558846;-4.31054,-2.68372,-5.15698,3.06483
118;0.857513,0.278205,0.725734,0.0795106,0.912024,0.160217,0.881786,-0.109849,-0.393098,0.576322,0.867749,0.263546;-2.08908,-0.462572,-5.88093,2.4892
119;0.849598,0.278205,0.645564,0.228425,0.908439,0.674612,0.881571,-0.109849,-0.230687,-0.0536766,0.87495,0.286869;-2.41565,0.694656,-5.19533,1.56199
