Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
74;-0.354718,0.840671,0.510225,-0.358122,0.860806,0.0198004,0.371817,0.840498,0.075783,0.55579,-0.173498,0.983205,-0.124838,-0.293975,0.541649,0.261035,-0.566117,0.850051,-0.1489,-0.609063;-5.98839,-0.303287,0.869607,1.32535
75;-0.346713,0.732237,0.534017,-0.260718,0.7444,0.133523,0.606771,0.857693,0.664931,0.738975,0.594307,0.899461,-0.0148394,-0.0493997,0.491122,-0.32733,-0.613376,0.803165,0.226547,-0.030557;-6.66122,-1.64321,-0.513246,0.953818
76;0.339484,0.467116,0.338192,-0.714991,0.937569,0.341608,0.77293,0.926371,0.309207,0.76421,0.350312,0.968281,0.130063,0.0630305,0.751205,-0.62134,-0.705669,0.898875,-0.372132,0.170124;-7.03951,-2.16858,-0.0210776,1.4725
77;0.678263,0.609269,-0.0206597,-0.594895,0.979011,0.502708,0.908945,0.706063,0.108249,0.927058,-0.687339,0.916966,-0.0455497,0.165933,0.686648,-0.714021,-0.956546,0.886492,-0.81514,0.906002;-6.6265,-3.02361,1.48446,1.75965
78;0.627046,0.582838,-0.0980474,0.0907849,0.980178,0.495151,0.908945,0.778154,-0.111297,0.922561,-0.779787,0.923531,-0.0911682,0.165933,0.670459,-0.66162,-0.953213,0.911619,-0.856138,0.929663;-4.63298,-3.30167,1.54781,0.694734
79;-0.471393,0.837157,0.575253,0.32408,0.845288,0.146877,0.747699,0.648091,0.0120061,0.740725,-0.295601,0.987325,-0.653327,-0.29113,0.526815,0.0578284,-0.737263,0.630342,-0.142541,-0.102511;-5.46501,-1.21568,1.03483,0.173226
80;-0.0940229,0.228972,0.243447,-0.222948,0.568888,0.696595,0.551375,0.633097,-0.722701,0.785673,0.0492954,0.959119,-0.121443,0.0857313,0.665115,-0.574359,-0.59062,0.848763,-0.495611,0.342812;-4.66637,-2.87959,0.755464,1.0981
81;0.356797,0.265083,0.0594256,-0.449027,0.820848,0.704847,0.551375,0.659038,-0.686321,0.782107,-0.0187401,0.971112,0.114496,0.0857313,0.627579,-0.570687,-0.576924,0.786268,-0.715882,0.462519;-4.56831,-2.72303,1.06446,1.18161
82;0.348356,0.289423,0.0209356,-0.40797,0.813179,0.675454,0.551375,0.657035,-0.676949,0.785881,-0.150126,0.973142,0.114496,0.0857313,0.599079,-0.566116,-0.582788,0.786268,-0.702468,0.414189;-4.30696,-2.68169,1.17441,1.18922
83;0.344378,0.283809,0.0366482,-0.323242,0.80673,0.665507,0.551375,0.659155,-0.679065,0.786127,-0.17056,0.973083,0.114496,0.0857313,0.593935,-0.56644,-0.583775,0.786268,-0.697718,0.393577;-4.10711,-2.70801,1.16422,1.06325
84;0.839766,0.662186,-0.291907,-0.117917,0.983162,0.595841,0.852686,0.859486,-0.230502,0.915955,-0.264887,0.910603,0.148257,0.382273,0.455813,-0.822838,-0.904073,0.963307,-0.691624,0.751024;-3.35683,-3.61519,1.26032,0.867519
85;-0.354718,0.840671,0.510225,-0.358122,0.860806,0.0198004,0.371817,0.840498,0.075783,0.55579,-0.173498,0.983205,-0.124838,-0.293975,0.541649,0.261035,-0.566117,0.850051,-0.1489,-0.609063;-5.98839,-0.303287,0.869607,1.32535
86;-0.346713,0.732237,0.534017,-0.260718,0.7444,0.133523,0.606771,0.857693,0.664931,0.738975,0.594307,0.899461,-0.0148394,-0.0493997,0.491122,-0.32733,-0.613376,0.803165,0.226547,-0.030557;-6.66122,-1.64321,-0.513246,0.953818
87;0.339484,0.467116,0.338192,-0.714991,0.937569,0.341608,0.77293,0.926371,0.309207,0.76421,0.350312,0.968281,0.130063,0.0630305,0.751205,-0.62134,-0.705669,0.898875,-0.372132,0.170124;-7.03951,-2.16858,-0.0210776,1.4725
88;0.678263,0.609269,-0.0206597,-0.594895,0.979011,0.502708,0.908945,0.706063,0.108249,0.927058,-0.687339,0.916966,-0.0455497,0.165933,0.686648,-0.714021,-0.956546,0.886492,-0.81514,0.906002;-6.6265,-3.02361,1.48446,1.75965
89;0.627046,0.582838,-0.0980474,0.0907849,0.980178,0.495151,0.908945,0.778154,-0.111297,0.922561,-0.779787,0.923531,-0.0911682,0.165933,0.670459,-0.66162,-0.953213,0.911619,-0.856138,0.929663;-4.63298,-3.30167,1.54781,0.694734
90;-0.471393,0.837157,0.575253,0.32408,0.845288,0.146877,0.747699,0.648091,0.0120061,0.740725,-0.295601,0.987325,-0.653327,-0.29113,0.526815,0.0578284,-0.737263,0.630342,-0.142541,-0.102511;-5.46501,-1.21568,1.03483,0.173226
91;-0.0940229,0.228972,0.243447,-0.222948,0.568888,0.696595,0.551375,0.633097,-0.722701,0.785673,0.0492954,0.959119,-0.121443,0.0857313,0.665115,-0.574359,-0.59062,0.848763,-0.495611,0.342812;-4.66637,-2.87959,0.755464,1.0981
92;0.356797,0.265083,0.0594256,-0.449027,0.820848,0.704847,0.551375,0.659038,-0.686321,0.782107,-0.0187401,0.971112,0.114496,0.0857313,0.627579,-0.570687,-0.576924,0.786268,-0.715882,0.462519;-4.56831,-2.72303,1.06446,1.18161
93;0.348356,0.289423,0.0209356,-0.40797,0.813179,0.675454,0.551375,0.657035,-0.676949,0.785881,-0.150126,0.973142,0.114496,0.0857313,0.599079,-0.566116,-0.582788,0.786268,-0.702468,0.414189;-4.30696,-2.68169,1.17441,1.18922
94;0.344378,0.283809,0.0366482,-0.323242,0.80673,0.665507,0.551375,0.659155,-0.679065,0.786127,-0.17056,0.973083,0.114496,0.0857313,0.593935,-0.56644,-0.583775,0.786268,-0.697718,0.393577;-4.10711,-2.70801,1.16422,1.06325
95;0.839766,0.662186,-0.291907,-0.117917,0.983162,0.595841,0.852686,0.859486,-0.230502,0.915955,-0.264887,0.910603,0.148257,0.382273,0.455813,-0.822838,-0.904073,0.963307,-0.691624,0.751024;-3.35683,-3.61519,1.26032,0.867519
96;-0.354718,0.840671,0.510225,-0.358122,0.860806,0.0198004,0.371817,0.840498,0.075783,0.55579,-0.173498,0.983205,-0.124838,-0.293975,0.541649,0.261035,-0.566117,0.850051,-0.1489,-0.609063;-5.98839,-0.303287,0.869607,1.32535
97;-0.346713,0.732237,0.534017,-0.260718,0.7444,0.133523,0.606771,0.857693,0.664931,0.738975,0.594307,0.899461,-0.0148394,-0.0493997,0.491122,-0.32733,-0.613376,0.803165,0.226547,-0.030557;-6.66122,-1.64321,-0.513246,0.953818
98;0.339484,0.467116,0.338192,-0.714991,0.937569,0.341608,0.77293,0.926371,0.309207,0.76421,0.350312,0.968281,0.130063,0.0630305,0.751205,-0.62134,-0.705669,0.898875,-0.372132,0.170124;-7.03951,-2.16858,-0.0210776,1.4725
